mouse_id	Location	challenge	Genetics	Name	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC_CXCL1	MCP-1_CCL2	IL-1b	IL-10	MIP-1a_CCL3	MIP-1b_CCL4	IL-17	IL-6	IL-13
66-3	NYU	PBS	NOD2	A10.fcs	P5	<1.16	<1.00	5.56	<1.27	6.67	<2.82	4.96	5.74	2.76	3.59	<1.37	<1.73	5.99
66-4	NYU	PBS	NOD2	A11.fcs	P5	<1.16	<1.00	<1.45	<1.27	5.75	<2.82	<1.32	<4.74	<1.36	4.25	<1.37	<1.73	<2.46
66-5	NYU	PBS	NOD2	A12.fcs	P5	1.19	5.5	13.4	2.15	26.48	11.49	<1.32	<4.74	<1.36	10.88	<1.37	5.17	4.52
59-1	NYU	PBS	B6	A3.fcs	P5	<1.16	<1.00	<1.45	<1.27	<1.17	<2.82	<1.32	<4.74	<1.36	<1.75	<1.37	<1.73	<2.46
59-2	NYU	PBS	B6	A4.fcs	P5	<1.16	1.61	<1.45	<1.27	2.59	<2.82	<1.32	<4.74	<1.36	6.55	<1.37	<1.73	<2.46
59-3	NYU	PBS	B6	A5.fcs	P5	<1.16	<1.00	<1.45	<1.27	<1.17	<2.82	<1.32	<4.74	<1.36	<1.75	<1.37	<1.73	<2.46
59-4	NYU	PBS	B6	A6.fcs	P5	6.77	24.19	127.56	15.26	83.09	34.13	38.62	117.03	47.63	109.67	19.52	32.81	15.33
59-5	NYU	PBS	B6	A7.fcs	P5	<1.16	2.86	<1.45	<1.27	3.16	<2.82	<1.32	<4.74	<1.36	4.74	<1.37	1.76	2.61
66-1	NYU	PBS	NOD2	A8.fcs	P5	<1.16	1.6	7.06	1.51	11.28	3.71	11.1	5.52	6.27	17.13	<1.37	7.69	7.38
66-2	NYU	PBS	NOD2	A9.fcs	P5	<1.16	2.27	4.13	<1.27	18.39	7.27	8.4	9.8	3.84	3.72	<1.37	<1.73	4.67
66-3	NYU	CD3/CD28	NOD2	B10.fcs	P5	<1.16	22.43	1894	39.16	19.37	10.12	5.95	17.05	310.94	114.24	164.59	25.86	8.97
66-4	NYU	CD3/CD29	NOD2	B11.fcs	P5	2.02	6.59	390.22	26.62	27.25	4.79	13.99	16.91	102.13	42.62	38.5	27.02	6.22
66-5	NYU	CD3/CD30	NOD2	B12.fcs	P5	<1.16	14.92	936.76	38.6	27.39	8.64	8.85	19.58	220.16	93.54	116.3	23.37	10.42
59-1	NYU	CD3/CD31	B6	B3.fcs	P5	<1.16	<1.00	1533	24.39	<1.17	<2.82	<1.32	<4.74	159.99	43.96	10.3	<1.73	<2.46
59-2	NYU	CD3/CD32	B6	B4.fcs	P5	<1.16	2.98	241.13	25.45	14.16	<2.82	2.17	19.67	84.42	49.01	30.25	12.13	3.51
59-3	NYU	CD3/CD33	B6	B5.fcs	P5	<1.16	14.34	435.5	34.87	16.89	5.82	<1.32	<4.74	135.3	64.02	23.13	21.11	5.01
59-4	NYU	CD3/CD34	B6	B6.fcs	P5	<1.16	23.11	1422	42.44	14.07	<2.82	<1.32	<4.74	199.22	110.36	92.06	26.76	5.82
59-5	NYU	CD3/CD35	B6	B7.fcs	P5	<1.16	1.05	342.41	23.68	22.68	<2.82	3.24	7.42	120.62	54.5	38.39	6.6	<2.46
66-1	NYU	CD3/CD36	NOD2	B8.fcs	P5	<1.16	8.09	720.16	24.71	4.04	<2.82	<1.32	7.16	200.08	60.79	83.03	21.83	9.97
66-2	NYU	CD3/CD37	NOD2	B9.fcs	P5	<1.16	11.4	694.28	30.4	14.25	<2.82	<1.32	6.2	153.75	33.43	84.29	150.3	7.11
66-3	NYU	Staph A.	NOD2	C10.fcs	P5	<1.16	<1.00	192.29	15.59	25.02	14.36	2.7	11.8	102.64	39.35	<1.37	15.5	8.18
66-4	NYU	Staph A.	NOD2	C11.fcs	P5	<1.16	<1.00	<1.45	6.71	28.11	4.97	<1.32	9.18	45.28	<1.75	3	6.47	5.01
66-5	NYU	Staph A.	NOD2	C12.fcs	P5	<1.16	9.97	65.6	69.05	24.98	13.34	<1.32	26.85	145.14	57.99	<1.37	18.06	7
59-1	NYU	Staph A.	B6	C3.fcs	P5	<1.16	<1.00	86.68	16.68	8.89	<2.82	<1.32	<4.74	61.61	18.34	<1.37	14.66	<2.46
59-2	NYU	Staph A.	B6	C4.fcs	P5	<1.16	1.2	75.14	15.71	83.51	7.77	<1.32	8.21	69.53	13.94	4.85	35.61	4.6
59-3	NYU	Staph A.	B6	C5.fcs	P5	<1.16	<1.00	58.48	20.86	70.61	<2.82	<1.32	5.12	54.39	19.3	<1.37	34.01	2.99
59-4	NYU	Staph A.	B6	C6.fcs	P5	<1.16	<1.00	914.09	18.36	21.02	<2.82	<1.32	<4.74	92.83	43.92	<1.37	24.99	4.65
59-5	NYU	Staph A.	B6	C7.fcs	P5	<1.16	<1.00	19.74	18.38	108.35	5.08	<1.32	10.05	67.49	<1.75	<1.37	48.79	8.49
66-1	NYU	Staph A.	NOD2	C8.fcs	P5	<1.16	1.39	58.57	12.45	29.25	6.67	<1.32	13.51	66.96	28.18	<1.37	7.35	7.71
66-2	NYU	Staph A.	NOD2	C9.fcs	P5	<1.16	<1.00	50.27	16.61	40.04	10.52	<1.32	<4.74	88.92	31.8	<1.37	14.16	<2.46
66-3	NYU	Pseudomonas A.	NOD2	D10.fcs	P5	3.08	3.24	343.58	7.6	34.95	10.73	17.34	11.24	121.74	47.58	4.38	160.76	7.31
66-4	NYU	Pseudomonas A.	NOD2	D11.fcs	P5	1.87	7.85	576.87	15.36	87.82	14.45	19.48	27.56	226	46.09	50.52	41.97	8.99
66-5	NYU	Pseudomonas A.	NOD2	D12.fcs	P5	<1.16	4.05	6994	29.38	116.85	<2.82	<1.32	15.15	171.79	57.07	23.48	151.58	8.38
59-1	NYU	Pseudomonas A.	B6	D3.fcs	P5	<1.16	<1.00	362.47	9.95	20.59	<2.82	<1.32	<4.74	99.45	15.85	<1.37	16.53	2.51
59-2	NYU	Pseudomonas A.	B6	D4.fcs	P5	<1.16	<1.00	17.29	8.56	124.73	<2.82	<1.32	<4.74	114.5	23.44	<1.37	43.41	2.95
