Genes	module
2210010C04Rik	1.2
Amy2a5	1.2
Amy2b	1.2
Cel	1.2
Cela1	1.2
Cela2a	1.2
Cela3b	1.2
Clps	1.2
Cpa1	1.2
Cpb1	1.2
Ctrb1	1.2
Ctrl	1.2
Pnlip	1.2
Prss2	1.2
Try4	1.2
Try5	1.2
Beta-s	3.3
Dgka	3.3
Gpx1	3.3
Hmha1	3.3
Lat	3.3
Limd2	3.3
Rpl10a	3.3
Rpl21	3.3
Serbp1	3.3
Abhd11	6.2
Agtpbp1	6.2
Anapc5	6.2
Ankrd46	6.2
Anxa5	6.2
Ap2a2	6.2
Api5	6.2
Atp6v1e1	6.2
BC003965	6.2
Brcc3	6.2
Cacfd1	6.2
Cdc34	6.2
Cfl2	6.2
Cfp	6.2
Clic4	6.2
Clk2	6.2
Cxcl16	6.2
Ddost	6.2
Ddt	6.2
Denr	6.2
Eid1	6.2
Enpp2	6.2
Ero1lb	6.2
Fam134c	6.2
Fam89b	6.2
Fkbp1a	6.2
Gbp3	6.2
Glo1	6.2
Glycam1	6.2
Gstp2	6.2
Hes6	6.2
Hid1	6.2
Hmgcs1	6.2
Ict1	6.2
Ifi27l1	6.2
Ifitm3	6.2
Isyna1	6.2
Lamp1	6.2
Lrrc59	6.2
M6pr	6.2
2-Mar	6.2
Mbd6	6.2
Mgat1	6.2
Morf4l2	6.2
Mrpl38	6.2
Mrpl39	6.2
Mvb12a	6.2
N6amt2	6.2
Nmi	6.2
Oat	6.2
P4hb	6.2
Parl	6.2
Pddc1	6.2
Pdzd8	6.2
Pebp1	6.2
Pfdn1	6.2
Phax	6.2
Phf5a	6.2
Pik3cd	6.2
Pja1	6.2
Pmm2	6.2
Prkaca	6.2
Prr13	6.2
Psmb5	6.2
Ptdss1	6.2
Rara	6.2
Rrp7a	6.2
S100a11	6.2
Sdhc	6.2
Sel1l	6.2
Skap2	6.2
Slc35e1	6.2
Slc37a1	6.2
Slc4a2	6.2
Smad3	6.2
Smim14	6.2
Snx11	6.2
Srpk2	6.2
Ssr4	6.2
St13	6.2
Tesk1	6.2
Tnfrsf4	6.2
Traf2	6.2
Tsg101	6.2
Ugp2	6.2
Uqcr10	6.2
Usp1	6.2
Usp9x	6.2
Vrk3	6.2
Wdr73	6.2
Zbtb44	6.2
Zcrb1	6.2
Zfpm1	6.2
Zmynd11	6.2
2310036O22Rik	7.2
Arhgef1	7.2
Arid1b	7.2
Atp5d	7.2
Bcl2a1a	7.2
Bcl2a1d	7.2
Cc2d1b	7.2
Ccnt1	7.2
Cct4	7.2
Cdc42	7.2
Cdc42se2	7.2
Chmp1a	7.2
Copz1	7.2
Cox6a1	7.2
Ddx5	7.2
Dock10	7.2
Dusp11	7.2
Dynll1	7.2
Eif3m	7.2
Eif4g2	7.2
Eif5b	7.2
Erh	7.2
Fam49b	7.2
Folr4	7.2
Foxp1	7.2
Fuca1	7.2
Gsk3a	7.2
H2-D1	7.2
H2afz	7.2
Hnrnpa3	7.2
Il10rb	7.2
Ivns1abp	7.2
Jak2	7.2
Kcnq1ot1	7.2
Ly6d	7.2
Lypla1	7.2
Mef2c	7.2
Mll1	7.2
Mll5	7.2
Mrpl24	7.2
Ncf1	7.2
Ndufa6	7.2
Ndufc2	7.2
Nme1	7.2
Nop58	7.2
Ociad1	7.2
Ostf1	7.2
Pbxip1	7.2
Pcbp2	7.2
Phip	7.2
Pitpnc1	7.2
Plekho1	7.2
Polr1d	7.2
Pou2f2	7.2
Prrc2c	7.2
Psma2	7.2
Psmd1	7.2
Puf60	7.2
Purb	7.2
Rn45s	7.2
Rnaset2b	7.2
Rnf187	7.2
Rnf44	7.2
Rpl28	7.2
S1pr1	7.2
Satb1	7.2
Sfrs18	7.2
Smc4	7.2
Snw1	7.2
Snx5	7.2
Son	7.2
Srp14	7.2
Srp9	7.2
Srsf1	7.2
Ssh2	7.2
Tcp11l2	7.2
Tmem123	7.2
Tnrc6a	7.2
Trim8	7.2
Ube2d3	7.2
Ube2i	7.2
Ubxn1	7.2
Vps28	7.2
Ywhab	7.2
Zc3h7a	7.2
Actc1	8.2
Ap2s1	8.2
