Module	30_10	30_21	30_33	30_36	30_9	32_1	32_2	32_5	32_8	504954	505048	505049	505050	505054	505057	505149	505150	505248	505349	505350	505449	505452	505551	505556	505748	505749	505750	505751	505756	514851	514855	514857	514957	515050	515055	515056	515057	515149	515152	515155	515157	515249	515250	515251	515255	515350	515353	515357	515450	515550	515652	515654	515749	515753	515757	59_1	59_2	59_3	59_4	59_5	61_1	61_2	61_3	61_4	66_1	66_2	66_3	66_4	66_5	71_3	71_6	71_7	71_8	71_9	76_1	76_2	76_3	76_4	76_5	78_84	78_85	86_3	86_6	86_7	86_8	86_9
1.1.1.1.1.1.1.1	4.50230369241193	3.7032055324805	5.23046824953432	5.07691185546414	4.52943855539484	4.75196755429398	4.87405936114448	5.17606199445378	5.37553499677183	4.45153067246808	0.0936006574097994	4.64225507745446	4.76578753571029	4.73507719236246	3.53548565623419	4.11621652011785	4.81757269017796	4.49461967934905	4.53969753647546	4.56502631252865	4.22901740489184	3.94440929959654	4.746124451596	4.80104724110122	4.74391155417727	4.60342299633052	4.73742845010813	4.24100046643433	3.87032629356538	4.58824715565115	4.77693286884331	4.33972070531042	4.17530469923084	4.41651459457552	4.87202546765578	4.28043237170711	4.94417692495216	4.95664683710663	4.19873465367969	3.87200620865776	4.94066478397359	3.56258831830968	4.68215459975502	0.373708047471235	4.15987016157106	4.33560372124682	3.65276008208685	4.202183292711	4.70054771925918	4.58450709320036	4.66439697644122	4.87607876804478	4.54674894534367	4.29546237786245	4.15728518788612	5.15263318765469	5.13015922169032	5.30942145070541	4.65125470918954	5.01711219290916	5.20474307866225	3.74154957814721	4.82707663869173	5.7505963373973	4.70599530738671	5.08174538102529	4.6259806627675	3.14285526620639	5.48715740102763	5.46753833579362	4.19704296283101	1.20740865584987	0.314058405342865	4.95761184260736	4.6145738466206	4.5056531883977	4.10742403697762	4.77397304181938	4.87344602770553	4.93628721674532	4.95924057934421	5.20766845685009	4.6600313285044	4.78051756407181	4.88547727798605	4.40961694978873
1.1.1.1.1.1.1.2	4.06209171187622	4.16694633418858	4.15187390924114	4.51457421095865	4.44999056000422	4.34367744335497	4.81019564309859	4.61550786682166	4.60728120984061	3.69143025912304	2.50139687905498	3.86239928396445	4.47723531922965	5.06163424011159	5.4669296744632	4.1307000405968	4.66460626963223	4.06788912128672	3.91472369308203	4.40542529681285	3.94727949334637	4.31872307363577	4.22329881303249	4.6424688743375	4.01544512476641	4.48149961447427	3.91868568430537	4.48914601265349	3.70790856686729	4.857162276054	5.16284513361939	4.1353121170368	4.30697006981481	4.39095482841449	4.69435878550981	4.6423878942209	4.15392777252786	4.20119797392594	3.48345870392777	3.8393820340178	4.87052211718882	3.69224216770083	4.57315292606915	11.1854684553459	3.61240803266626	5.24152420323148	4.29675331004856	4.03127221272452	4.76716116219212	3.6385559136369	4.94288923227799	4.81220535210973	4.99347723095136	4.57352820279641	4.54588503790017	5.18775538660823	4.47791248363121	5.34690428763309	3.42385361103876	4.83870195329063	4.81632941607552	4.69648529858865	4.20180895673659	4.62540945435269	4.35123930573498	4.58465301564096	4.33982693639052	2.05690035015619	4.50759710020015	5.15700877514002	4.40492157979881	4.60956506543669	12.169763207036	4.74317390520029	4.42532851645551	4.42652850020231	4.42540370891482	4.13160447630767	4.5017553216757	4.90988995890176	4.29124469915001	4.42223860257815	3.85765974367077	4.51659836034301	4.90827701638474	4.59129395802006
1.1.1.1.1.1.2.1	2.65813266121124	1.31349395316814	3.48998096718821	3.4334442929444	3.21124558048978	2.63698292454883	3.3517267124108	3.46360126666914	3.94262424842098	3.363692753472	0	3.54534668187206	3.77329946758553	3.07061404476007	2.92206874377026	4.45345165057412	3.53183155503834	3.79632514365888	3.16646231450277	3.58916923847361	3.24815035653857	3.2958676088273	3.2676313938779	2.44566034505749	3.37530169907901	3.81200085098024	2.91965316795084	2.86505346701288	2.09153194904528	3.26182778557313	2.89883933623399	3.17549792838164	3.29956100010028	3.66319605168806	3.20236289821615	2.02766416408568	3.26112295185329	3.83347297964066	3.58976827139714	3.54216582141621	3.90973226070374	4.25639842438058	3.92418496856537	0	3.34996380252305	1.15945234091314	3.58919012910034	2.03316337685237	4.13062284916914	3.44080830963489	2.8741367317277	3.5013537149759	4.19741564340839	3.58981799044717	3.80470812954688	3.37148407640146	2.88521309996847	4.07131588473926	4.88012405051649	3.81736797286567	3.99964747161054	0.382042282353635	3.06983035522649	3.55981540727426	3.68071261029976	3.32767649519135	3.51409999237047	0	3.09354627625183	3.33452072417081	2.26275359735237	0	0	3.86710549838821	2.96904769233274	3.86592905911167	2.95404186196105	3.52064815264918	3.90438743782429	3.23768105985551	3.43117550706162	3.68080047370031	2.59061176548023	2.76606582813553	4.08454009102626	3.28044626275926
1.1.1.1.1.1.2.2	3.23081977927708	0.979039474352178	4.38509645599481	4.00233857150244	3.87780449219096	4.01745475470794	3.83409161493765	3.85284128493413	4.10081596209219	4.09814246320943	0.403002830514414	3.60919755312678	3.43715809791456	3.73123090079505	2.29769508057149	2.65236174104344	3.82368792831034	3.32851557365127	3.12377716075335	4.09478633357605	3.58140592627304	3.72310970626787	3.76661273106767	3.58607755513894	3.96704091204648	3.4691386808358	3.44369348014715	2.09832167875401	5.18781944223976	3.8914493054074	3.63908875737756	3.55664479907217	3.23527557166469	3.13823045589691	3.6781196833444	3.66637388160147	3.71451420399788	3.71827518050499	2.94102910339628	3.35685807242545	3.84909745517173	1.99703415657787	3.32576900680569	0.160902075994559	3.43567194074549	2.22228365341686	3.02861431229117	3.7113299736194	3.96761359496822	2.61047435991397	3.69183703581281	3.55693075807075	3.85491818639416	3.87942210137863	3.56725700890777	4.50148081857527	3.81378743099281	4.10212233707301	2.63818671961682	3.96317022182929	3.54535359794448	1.83061926961117	3.32152343542651	3.69376433217367	3.80095951074107	3.91186859101383	3.07902094569603	0	4.48910601973753	3.51514059673006	3.54840905039349	0.371326074715733	0.338048977973222	4.74020199172586	3.66296305337602	3.63124241645036	2.37660569552833	3.38309798769699	3.98276683083383	4.34161565810295	3.60438388602386	3.83011787465487	3.07378142015313	3.75717484918783	2.37233389125262	3.65744744001537
1.1.1.1.1.1.2.3	2.73377058246522	4.19588346150933	1.22634053430363	3.838781466417	3.75380492994067	4.15514977654269	4.22157959729837	4.34708331565454	3.72358956795315	3.223538888744	0	3.32295085063741	3.31944720415036	3.02922096327433	2.08228616676791	2.35095699774305	3.55461359261443	3.17370089580702	2.76677405666725	3.11203761351779	2.86177763267612	2.334572889586	3.74452116079748	3.88064821145392	3.23466412828405	2.81916461648056	2.73177607800134	3.0805148049793	4.95200946759249	2.96643266723679	3.07048113903732	2.93047494008059	2.7009427283807	2.83238596231373	3.24134297094725	2.71311667238509	2.99897039132973	3.10598435736794	2.54979128688944	1.9801690876667	3.78401609723405	2.99555123486681	3.14668913720846	0	3.06957575033819	2.88896874944192	1.94696634361575	2.08762311016091	2.64810907370585	2.47308097255008	2.75438103457238	3.4284088459139	3.16773711838477	3.29384895400072	2.41500142638446	4.21771985006909	4.7433981172973	3.81777067507136	3.95728007942523	3.36433955644299	4.41496863140256	2.74592890441675	4.05700362469952	3.1695401365595	3.34987287619787	4.00905787277815	2.83847243431352	0	4.06777354348231	3.94121824481855	2.85844062392809	0	0	3.66288335724271	4.04724712370788	3.45949446432095	2.30670552801279	3.04478818892729	2.92418933105958	4.22796079794318	4.07864492365858	3.19564546076828	4.50933867681805	3.5418426937996	2.25371719668999	3.0204762566419
1.1.1.1.1.1.2.4	2.60950828326225	3.7762951153584	6.02021716839967	3.29038411407172	5.07270936478468	3.49907349603595	3.12029796322053	3.43722866819197	4.59972828982448	3.82326705409172	0	6.27253643715826	3.72908111444977	3.46196681517066	3.01572479325008	4.12321688834935	5.6080756281885	3.25110823472915	2.9452756087103	3.43962052020387	3.01239750808013	3.02121197475836	4.57295504592966	3.91907047097327	4.76044909445578	3.94683046307278	4.07282978902018	4.01806278910343	3.53714961970892	3.44488954904917	5.5561087277818	6.08637102939815	2.76681938029243	4.54777464371501	3.10341348282184	6.15950812109047	4.73521640736273	4.20810783901463	5.34241983919692	6.11023604194295	4.01644951844007	4.97134034722576	2.07220991962508	11.5849494716083	3.54831692240928	0.666685096025058	3.8939326872315	9.18554168470801	3.43981178646327	3.29744129673344	5.21882722340031	5.12698222550042	4.82702798991965	1.75671944213372	3.97764940816265	4.64336130282835	4.7195619458536	4.86660877261844	1.07925820347961	1.95980945035514	4.69592118067363	2.1967431235334	5.55168917064146	2.613055990446	3.46079581911833	5.02954533130349	2.30926570927202	2.48542125643873	3.17148445763027	2.23690765246459	5.91401508398914	0	12.169763207036	5.68824239007103	4.26800605772831	4.26916338150246	2.51640603055941	4.27916177903295	1.88657376197392	6.34194119691478	3.22497505591609	4.71488674539582	3.04000360234925	5.61348653356917	4.98190117163051	4.80810506159323
1.1.1.1.1.1.2.5	2.71915148844134	1.48090004523859	3.14782597040505	3.87104013420202	3.81945175701435	3.94503384356994	3.54137623507382	3.94865023473956	4.09723696404533	3.33378303678586	0	3.37346497460613	4.06808848849065	3.09540562297612	1.82464021104206	3.01262905774132	4.95829859461942	3.22378799746251	3.40202958011457	4.68250860733637	3.40223718559638	3.586679456665	4.39752198790167	3.90550967349585	3.70496490609228	3.48249746741717	3.27228792231177	3.308992885144	5.16007709228126	4.45809235759305	4.40360320220478	3.5006578469741	2.97607462754143	4.95608877581326	4.08920364795348	4.08908522324493	3.65447289791759	4.19632042209862	3.59970534619685	3.91374596150595	4.7383603795976	3.32922339995209	3.41305163232367	0	4.09497639224824	2.19613913984725	3.20676809536712	1.57185740059175	3.39163515079852	3.78235913448836	3.06989836670606	3.61904627682383	3.69125669817385	2.84175203874572	3.47626502898248	4.67067519284499	3.7016172124342	4.63956617267883	2.79337417371193	3.4584872653326	5.15630561015144	1.29220183737259	5.0911418035445	4.20138414150142	4.63527403827613	3.91043933687023	3.80349646233039	8.18727002120992	4.18538613845836	2.25570519576261	5.00951865937904	0	0	4.07606673940919	4.08620458265266	4.29514206333715	3.25652545131218	3.36911379887662	3.55119766959797	4.42852819822512	2.99063430790834	4.28962245071306	4.29176979155188	3.7737724595423	4.0190127098868	4.09015272207931
1.1.1.1.1.2.1.1	7.56619332924717	8.7647343418195	4.85581302471741	6.49097217044947	6.46300748698493	6.97654777296056	7.45064611697103	8.20741311620564	7.57697746507242	6.06391811629362	1.0746742147051	6.83673283626773	7.94783954695859	6.71878004129418	6.19101174487318	5.915570428509	7.0997859804676	6.70863603991729	7.69540024363364	6.29687142852139	7.14049779693067	6.75449411191767	7.4522230378113	7.92352374087842	7.64926863040757	6.3796651135912	7.60850226169263	5.5359976205425	4.61139505976867	6.43613109163919	6.36840532541073	5.97783492050628	7.24155195829623	7.09204622801561	7.03440389439616	6.61576798191198	6.87483270994885	7.19905573870228	7.55493714633907	5.93422101192814	7.73538425773643	7.0816814063045	6.54920665955581	1.07268050663039	7.48463322610493	6.91377136618578	6.05722862458234	3.7113299736194	6.81895669838574	5.61786294999031	6.90689232529028	6.88229050324627	7.77687842820388	6.8967504024509	5.21934948795945	6.53510109286954	6.97075591553685	7.48326559672107	10.2329666700289	7.66503251694455	7.38503843798246	5.53253823704708	6.70631398390877	7.72088148617378	7.76953591300639	7.22440327781435	6.41462697020006	3.31389500858497	8.1917247504653	7.48002982199797	6.57112787109905	0.990202865908622	0	7.54601852420197	6.99887583412918	6.82629955765143	6.33761518807555	6.16882011450333	7.29475187963249	6.42528809436527	7.16661123536908	7.65247461886465	7.97156500171581	6.53421712902231	6.64253489550734	6.7395660692418
1.1.1.1.1.2.1.2	5.71921164432885	5.67240954036958	5.99481540819543	6.23441200560957	6.6266279296934	6.56999031956117	7.035191535839	7.61155477230297	7.61907977121017	6.52489060906793	1.10188115684954	6.59013321878653	6.42397517644568	6.41559419925298	5.64971227089888	6.32904177931838	7.02999277058689	5.78497378476217	5.73464479854755	5.94625174921322	5.44519448296002	5.69475858993577	6.61404835481736	6.66504613231791	6.72117934465518	5.87028581532978	5.58300841718111	6.18476500196174	6.91311267446909	6.19207994892383	6.15947030181807	6.19765488788223	6.2507769965859	6.32628478086405	6.84060423386551	5.73625078184736	6.4303040023022	6.47830465391403	6.65189673879294	6.05007900636827	7.09516258109807	5.13108156578316	6.12045123939897	3.59280078549877	5.96305459896146	6.98753493049047	5.69795719802484	5.41196472102475	6.34467996779844	6.0940054344694	6.57087782051751	6.68929511730928	6.03378498739956	6.11516261502244	5.79744199453724	7.34121299649698	7.25585127693948	7.71944839794648	6.33893425841188	6.83700613313768	7.45616566564602	7.28540124513609	6.91213231372302	7.35036846820254	6.44981810885344	7.16924733520971	6.41625092639504	7.42480274075366	7.19823990273376	6.4235250490303	5.50976595166584	3.04581387868095	1.84857162638522	7.08248362031859	6.23713849029873	6.85749508683066	5.89284956523406	6.40832601378059	6.20897693814202	6.72261304499418	7.26159684965767	6.8806842292865	6.44942536397132	6.22592840371746	6.34223946623486	5.86148737791113
1.1.1.1.1.2.1.3	5.21901656652451	5.0350601538112	5.35130414968858	6.58076822814344	6.85379398619797	5.92898564606092	6.32217234378017	7.25637163284969	6.32766854684849	6.74694186016186	10.4780735933748	5.92406219064947	6.34697139176551	5.50068060632672	5.93571229147634	5.20827396423075	6.94872670428743	6.29579689899931	6.12855328681133	6.06028377369255	5.15454684715933	6.22552770556267	6.0309986837623	5.12296793591277	6.30657786017645	6.17083810496301	6.07061350666965	4.82167534692412	7.23150588918269	6.54954309325398	5.65358431949728	5.86094988016118	5.65075280842792	5.47860571114205	5.63212076512111	6.30616307635453	5.78748672011	6.90218746081765	5.45034751271605	5.73306097762549	6.4337570989827	5.69367185066882	6.80503504469471	11.9067536235974	5.55715242874681	6.51869871668945	5.58130351836516	5.5669949604291	6.2608214526104	4.7629707619483	5.2574852028329	6.41914847745581	5.63153265490625	5.12376503955668	5.42980712860298	6.34592711386542	6.48343863268777	6.69391781367822	4.31703281391844	5.74877438770842	7.14422196717868	6.10206423203722	6.04200929682347	6.67780975336201	5.50177796885478	6.36589795556287	5.70901800347805	7.73242168669826	6.77196198199314	4.89989295301766	5.12547973945726	2.2279564482944	12.169763207036	6.37772631614024	5.78878982542461	6.4446374418083	5.1726123961499	6.03471532940544	6.62397009759732	5.91005272830767	5.39603669486613	7.7533693146509	5.13422830618984	5.52438357271887	3.95388981875437	6.8217558993545
