id	Sample.Number	Sample.name	RFID	Genotype	Environment	Weight_gain.	Wedge_cage	Gender	Pregnant	Diarrhea	Tissue	Flow.date
30-10	11	30_10_lab_Atg(H) 	E9 AtgH PBMC 30-10 lymph.fcs	AtgH	lab	18.56540084	2537330	M	N	N	blood	28-Jul
30-21	12	30_21_lab_Atg(H) 	E7 AtgH PBMC 30-21 lymph.fcs	AtgH	lab	6.912442396	2537330	M	N	N	blood	28-Jul
30-33	13	30_33_lab_Atg(H) 	E10 AtgH PBMC 30-33 lymph.fcs	AtgH	lab	14.79820628	2537330	M	N	N	blood	28-Jul
30-36	14	30_36_lab_Atg(H) 	E11 AtgH PBMC 30-36 lymph.fcs	AtgH	lab	8.75	2537330	M	N	N	blood	28-Jul
30-9	15	30_9_lab_Atg(H) 	E8 AtgH PBMC 30-9 lymph.fcs	AtgH	lab	23.65145228	2537330	M	N	N	blood	28-Jul
32-1	23	32_1_lab_Atg(W) 	D1 AtgW PBMC 32-1 lymph.fcs	B6	lab	1.976284585	2537332	M	N	N	blood	28-Jul
32-2	24	32_2_lab_Atg(W) 	D2 AtgW PBMC 32-2 lymph.fcs	B6	lab	5.603448276	2537332	M	N	N	blood	28-Jul
32-5	25	32_5_lab_Atg(W) 	D3 AtgW PBMC 32-5 lymph.fcs	B6	lab	6.694560669	2537332	M	N	N	blood	28-Jul
32-8	26	32_8_lab_Atg(W) 	D4 AtgW PBMC 32-8 lymph.fcs	B6	lab	3.8647343	2537332	M	N	N	blood	28-Jul
504954	41	504954_Atg(W)	C3 AtgW 504954 PBMC lymph.fcs	B6	wild	54.83870968	3	F	Y	N	blood	4-Aug
505048	42	505048_Atg(W)	E7 AtgW 505048 PBMC lymph.fcs	B6	wild	-4.867256637	8	M	N	N	blood	4-Aug
505049	43	505049_Atg(W)	E6 AtgW 505049 PBMC lymph.fcs	B6	wild	2.941176471	8	M	N	N	blood	4-Aug
505050	53	505050_NOD2	E3 NOD2 505050 PBMC lymph.fcs	NOD2	wild	0	7	M	N	N	blood	4-Aug
505054	66	505054_Atg(E)	D9 AtgE505054 PBMC lymph.fcs	AtgE	wild	51.78571429	3	F	N	N	blood	4-Aug
