mouse_id	IL.1a_Bacillus S.	IL.1a_Bacteroides V.	IL.1a_Candida A.	IL.1a_CD3/CD28	IL.1a_Clostridium P.	IL.1a_PBS	IL.1a_Pseudomonas A.	IL.1a_Staph A.	IL.5_Bacillus S.	IL.5_Bacteroides V.	IL.5_Candida A.	IL.5_CD3/CD28	IL.5_Clostridium P.	IL.5_PBS	IL.5_Pseudomonas A.	IL.5_Staph A.	IFN.y_Bacillus S.	IFN.y_Bacteroides V.	IFN.y_Candida A.	IFN.y_CD3/CD28	IFN.y_Clostridium P.	IFN.y_PBS	IFN.y_Pseudomonas A.	IFN.y_Staph A.	TNF.a_Bacillus S.	TNF.a_Bacteroides V.	TNF.a_Candida A.	TNF.a_CD3/CD28	TNF.a_Clostridium P.	TNF.a_PBS	TNF.a_Pseudomonas A.	TNF.a_Staph A.	KC_CXCL1_Bacillus S.	KC_CXCL1_Bacteroides V.	KC_CXCL1_Candida A.	KC_CXCL1_CD3/CD28	KC_CXCL1_Clostridium P.	KC_CXCL1_PBS	KC_CXCL1_Pseudomonas A.	KC_CXCL1_Staph A.	MCP.1_CCL2_Bacillus S.	MCP.1_CCL2_Bacteroides V.	MCP.1_CCL2_Candida A.	MCP.1_CCL2_CD3/CD28	MCP.1_CCL2_Clostridium P.	MCP.1_CCL2_PBS	MCP.1_CCL2_Pseudomonas A.	MCP.1_CCL2_Staph A.	IL.1b_Bacillus S.	IL.1b_Bacteroides V.	IL.1b_Candida A.	IL.1b_CD3/CD28	IL.1b_Clostridium P.	IL.1b_PBS	IL.1b_Pseudomonas A.	IL.1b_Staph A.	IL.10_Bacillus S.	IL.10_Bacteroides V.	IL.10_Candida A.	IL.10_CD3/CD28	IL.10_Clostridium P.	IL.10_PBS	IL.10_Pseudomonas A.	IL.10_Staph A.	MIP.1a_CCL3_Bacillus S.	MIP.1a_CCL3_Bacteroides V.	MIP.1a_CCL3_Candida A.	MIP.1a_CCL3_CD3/CD28	MIP.1a_CCL3_Clostridium P.	MIP.1a_CCL3_PBS	MIP.1a_CCL3_Pseudomonas A.	MIP.1a_CCL3_Staph A.	MIP.1b_CCL4_Bacillus S.	MIP.1b_CCL4_Bacteroides V.	MIP.1b_CCL4_Candida A.	MIP.1b_CCL4_CD3/CD28	MIP.1b_CCL4_Clostridium P.	MIP.1b_CCL4_PBS	MIP.1b_CCL4_Pseudomonas A.	MIP.1b_CCL4_Staph A.	IL.17_Bacillus S.	IL.17_Bacteroides V.	IL.17_Candida A.	IL.17_CD3/CD28	IL.17_Clostridium P.	IL.17_PBS	IL.17_Pseudomonas A.	IL.17_Staph A.	IL.6_Bacillus S.	IL.6_Bacteroides V.	IL.6_Candida A.	IL.6_CD3/CD28	IL.6_Clostridium P.	IL.6_PBS	IL.6_Pseudomonas A.	IL.6_Staph A.	IL.13_Bacillus S.	IL.13_Bacteroides V.	IL.13_Candida A.	IL.13_CD3/CD28	IL.13_Clostridium P.	IL.13_PBS	IL.13_Pseudomonas A.	IL.13_Staph A.
30-10	0	0	0	1.69	0	0	0	3.21	0	0	0	19.52	8.94	13.95	9.25	12.59	105.02	46.36	0	143.1	16.78	7.41	128.79	336.8	9.72	23.53	0	11.52	34.48	0	10.69	52.13	20.3	75.54	0	8.7	42.53	7.08	24.92	31.78	12.03	15.79	0	19.49	23.25	22	7.47	21.79	0	0	0	0	3.71	0	0	0	5.13	0	0	21.4	142.45	64	0	87.46	111.47	167.72	0	90.16	91.19	0	193.76	141.44	0	14.6	0	23.43	0	14.67	20.86	54.03	0	0	0	52.2	47.77	8.36	0	13.99	24.87	121.79	0	0	38.99	18.58	34.14	28.51	0	0	0	2.69	2.3	0	0	6.03
30-21	0	0	0	0	0	2.86	0	4.58	0	0	18.38	10.72	0	13.49	0	15.34	0	0	20.11	104.14	0	10.34	14.64	24.02	3.45	0	3.24	15.91	0	0	8.88	9.37	36.04	11.13	11.82	10.43	0	16.32	16.82	19.63	0	0	19.17	8.5	0	14.28	6.03	19.67	0	0	9.43	0	0	0	0	0	5.88	0	61.8	0	0	65.81	0	15.48	41.42	38.35	7.52	112.74	0	0	71.52	97.78	14.93	0	13.92	27.59	0	0	0	38.97	0	0	0	0	0	67.64	0	0	19.1	118.31	17.48	9.56	0	1.67	23.37	11.14	0	0	0	0	0	0	0	2.2
30-33	0	0	0	2.28	0	0	0	1.6	0	0	0	10.79	0	21.73	0	0	4.56	52.62	0	121.05	0	50.87	5.5	222.55	0	3.89	0	15.41	0	4.48	0	14.52	5.36	19.27	0	10.05	0	36.58	7.59	41.67	0	0	0	20.26	0	26.23	6.52	21.24	0	0	0	0	0	36.57	0	0	0	0	0	47.5	217.4	146.73	0	15.24	37.43	57.51	0	128.11	3.03	13.89	56.33	52.07	0	0	0	45.64	0	9.13	11.79	17.28	0	0	0	19.26	0	46.27	0	0	14.95	136.36	0	11.82	20.77	23.51	21.36	0	0	0	0	0	0	2.56	0	0
30-36	0	0	0	1.63	0	0	0	0	0	0	0	22.23	0	10.3	0	0	3.45	97.16	0	242.65	8.89	7.29	19.29	16.36	2.39	3.56	0	34.55	5.68	0	4.27	11.63	15.86	24.49	0	0	26.82	6.82	34.78	16.88	0	0	0	14.42	12.75	24.73	0	12.29	0	0	0	3.09	0	4.51	0	0	0	0	0	59.99	229.56	19.8	0	7.69	21.71	55.43	0	128.41	7.85	0	79.12	32.09	0	0	0	26.74	0	9.61	0	14	0	0	0	32.71	0	34.29	0	0	12.72	111.13	0	30.13	14.24	2.48	27.49	7.95	0	0	0	0	0	0	0	0
30-9	0	0	0	4.09	2.37	0	5.42	3.09	0	0	0	29.31	8.92	9.05	21.34	20.58	11.98	0	0	319.67	21.33	0	11.22	18.97	0	2.93	0	34.59	17.08	11.66	8.74	3.94	18.81	12.19	0	29.1	71.11	0	21.88	13.21	22.33	2.92	0	18.79	17.81	16.69	21.41	15.75	0	0	0	21.11	16.7	0	0	2.19	0	0	0	114.85	582	61.35	19.69	45.24	94.19	76.62	5.91	144.41	70.16	17.02	95.51	6.93	0	9.52	12.94	53.69	39.16	9.18	21.75	0	0	0	0	45.35	0	0	0	0	36.04	188.41	0	19.71	198.19	16.06	28.57	18.03	0	0	0	0	14.64	0	10.85	2.83
32-1	0	0.87	1.04	0	0	0	0	0	0	2.96	2.47	3.7	0	0	0	0	5.69	1504	13.68	817.63	54.7	0	1071	257.14	6.71	23.3	2.7	55.72	13.89	0	13.59	21.08	14.61	53.46	17.71	5.39	11.56	5.46	9.61	9.18	5.75	9.67	7.4	5.78	0	3.58	0	3.35	7.6	0	2.83	0	1.38	0	0	0	0	173.48	0	0	0	0	0	0	139.65	292.85	15.1	216.42	54.7	8.55	192.09	67.62	25.16	38.38	14.34	44.13	12.61	9.82	24.11	10.52	2.3	4.41	3.96	66.7	2.21	0	0	0	56.31	650.58	0	47.17	8.28	0	183.94	12.6	0	4.07	0	0	0	0	0	3.49
32-2	0	2.01	0	0.69	0	0	1.62	0	0	0	1.21	24.03	3.57	0	0	0	11.93	4404	0	1063	133.56	0	3001	72.65	2.53	39.36	2.64	72.5	35.07	0	22.44	15.71	25.13	119.39	13.89	14.19	32.22	3.71	93.98	17.83	0	14.26	5.51	10.53	10.25	4.68	0	0	0	7.26	0	0	0	0	0	0	0	114.1	0	106.92	165.77	0	0	0	93.89	201.5	23.33	196.4	76.28	5.85	176.13	39.58	16.21	31.75	11.13	50.95	8.39	4.58	15.99	5.06	3.47	11.44	4.28	274.22	13.21	0	5.31	0	19.75	345.55	19.36	26.36	29.29	0	133.28	0	0	7.58	4.29	4.14	0	0	0	0
32-5	0	0.79	3.78	0	1.88	0	0	0	0	1.91	5.51	5.27	0	0	0	0	23.24	607.24	15.22	1910	6.77	0	237.08	35.34	3.81	18.22	1.62	54.07	12.74	0	3.6	16.02	2.15	39.5	29.93	0	18.7	0	3.42	3.97	7.34	6.86	19.03	0	7.74	0	0	3.95	0	2.12	0	0	0	0	0	0	0	156.39	202.25	0	0	0	0	0	71.95	195.71	5.18	188.15	33.6	13.49	107.76	55	17.47	19.02	78.8	38.9	8.38	4.31	16.36	8.1	0	3.57	19.48	212.24	5.61	0	1.73	0	15.7	392.36	8.08	26.63	0	0	128.33	14.83	4.26	0	6.94	0	0	0	0	0
32-8	0	0.82	0.42	0	0	0	0	0	0	0	3.2	2.99	0	0	0	0	40.56	279.54	0	1577	7.74	0	119.91	276.39	3.94	24.85	1.89	51.95	25.86	0	0	45.89	49.43	168.17	11.02	1.47	101.69	0	0	199.79	0	3.23	6.07	0	3.88	0	0	0	0	0	2.81	0	0	0	0	0	0	0	61.22	0	0	0	0	0	110.83	190.5	23.43	371.06	62.46	4.44	9.78	92.09	5.81	22.42	24.91	87.12	6.57	7.47	0	10.5	0	1.44	0	385.53	0	0	0	0	10.16	359.84	0	11.7	0	0	0	25.57	0	0	0	0	0	0	0	0
504849	0	0	5.25	0	0	0	0	0	11.18	14.8	18.92	45.15	0	0	1.53	0	53.79	1081	28.76	4531	47.64	12.51	61.72	45.85	11.37	24.74	7.84	90.25	18.91	0	19.49	27.18	67.46	101.53	42.96	25.32	43.8	29.86	103.57	50.8	18.33	25.23	24.62	14.29	0	15.96	15.87	10.56	11.97	27.34	28.07	0	3.43	17.39	8.88	0	69.36	156.43	74.7	89.3	23.04	100.88	55.7	0	99.35	124.78	37.22	365.65	58.99	27.05	152.16	133.68	59.74	62.72	48.87	204.63	0	33.73	56.83	45.11	5.2	22.91	11.96	145.9	5.96	3.87	0	0	45.07	246.57	23.43	90.93	21.1	13.67	140.69	18.55	6.94	9.46	12.83	1.93	0	3.09	1.47	0
