Location	Genotype	Challenge_code	Challenge	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC	MCP-1	IL-1b	IL-10	CCL3	CCL4	IL-17	IL-6	IL-13
NYU	B6	E3.fcs	Bacillus	5	0	0	70.46	1.74	10.17	2.19	0	0	26.08	5.81	0	8.12	0
NYU	B6	E4.fcs	Bacillus	5	0	0	78.08	2.1	16.75	1.21	0	5.01	40.57	5.97	7.21	15.41	0
NYU	B6	E5.fcs	Bacillus	5	0	0	0	0.26	0	0	0	0	11.45	0	0	0	0
NYU	B6	E6.fcs	Bacillus	5	0	2.23	82.28	2.35	16.88	4.24	0	0	75.88	28.45	1.42	36.96	1.37
NYU	B6	E7.fcs	Bacillus	5	0	1.09	4.9	2.67	44.05	3.63	2.17	5.81	28.87	7.74	4.62	20.06	1.1
NYU	NOD2	E10.fcs	Bacillus	5	0	2.9	42.15	2.91	32.69	4.7	12.43	6.28	61.15	30.95	5.39	22.84	0.89
NYU	NOD2	E11.fcs	Bacillus	5	0	1.92	11.88	1.05	14.03	5.6	3.45	0	17.63	4.89	1.19	10.12	0.76
NYU	NOD2	E12.fcs	Bacillus	5	0	2.95	99.59	4	27.91	7.36	8.52	12.92	54.48	19.44	2.72	28.61	2.5
NYU	NOD2	E8.fcs	Bacillus	5	0	1.6	27.98	2.8	15.81	4.49	0	7.15	51.99	14	1.92	15.16	2.89
NYU	NOD2	E9.fcs	Bacillus	5	0	1.32	8	1.67	17.86	4.56	0	0	34.27	9.61	1.17	9.54	0.94
NYU	AtgE	E3.fcs	Bacillus	6	0.49	5.46	2.45	1.4	9.67	3.28	12.51	0	23.57	0	0	10.65	0
NYU	AtgE	E4.fcs	Bacillus	6	0	0	35.27	2.57	23.58	3.4	0	0	42.99	0	0	8.69	0
NYU	AtgE	E5.fcs	Bacillus	6	0	0.58	23.31	3.51	26.86	7.62	4.81	0	67.49	34.16	0	17.92	0
NYU	AtgE	E6.fcs	Bacillus	6	2.65	11.36	179.73	1.31	0	6.98	0	0	71.88	0	12.46	24.73	3.43
NYU	AtgE	E7.fcs	Bacillus	6	0	2.9	6.2	1.16	8.86	8.52	2.99	7.77	95.43	0	0	12.27	0.66
NYU	AtgH	E10.fcs	Bacillus	6	0	0	0	0.93	20.03	0	0	0	17.74	0	0	8.59	0
NYU	AtgH	E11.fcs	Bacillus	6	0	0	0.82	0	3.76	0	0	0	14.67	0	0	6.62	0
NYU	AtgH	E12.fcs	Bacillus	6	0	0	0.92	0.71	9.81	0	0	0	8.38	0	0	2.22	0
NYU	AtgH	E8.fcs	Bacillus	6	0	0	2.07	0	10.48	6.68	0	0	45.87	0	0	16.88	0
NYU	AtgH	E9.fcs	Bacillus	6	0	0	51.27	3.11	10.93	3.31	0	0	69.17	0	0	9.6	0
SF	AtgH	E10.fcs	Bacillus	9	1.49	3.34	2.07	1.88	13.11	3.02	0	21.4	40.12	37.98	1.1	15.34	0
SF	AtgH	E11.fcs	Bacillus	9	1.59	1.22	50.46	2.35	111.65	4.67	0	25.33	47.88	37.51	1.32	24.46	1.27
SF	AtgH	E12.fcs	Bacillus	9	1.8	3.08	1.42	1.89	26.23	3.46	1.1	27.13	41.36	37.64	2.91	19.71	3.85
SF	AtgW	E6.fcs	Bacillus	9	1.32	3.03	2.64	5.44	20.18	2.84	0	28.31	101.25	49.83	1.7	30.46	1.98
SF	AtgW	E7.fcs	Bacillus	9	0.81	2.95	0	1.35	8.52	3.19	0	36.8	43.71	37.81	1.61	28.12	0
SF	AtgW	E8.fcs	Bacillus	9	1.16	2.63	1.42	2.6	382.35	4.6	0	30.55	64.9	33.12	0.7	23.24	5
SF	AtgW	E9.fcs	Bacillus	9	1.03	2.08	1.64	1.79	19.07	4.11	0	27.3	51.45	41.45	2.31	26.91	1.8
SF	NOD2	E3.fcs	Bacillus	9	0.76	1.72	219.8	3.42	592.66	17.9	0	24.77	68.64	42.8	2.42	37.2	0
SF	NOD2	E4.fcs	Bacillus	9	0.97	1.49	0	3.61	53.44	3.21	0	0	60.22	25.81	0	15.52	0
SF	NOD2	E5.fcs	Bacillus	9	0.55	0.79	18.04	1.94	14.03	2.11	0	18.47	71.23	42.19	1.49	26.6	0
SF	AtgE	E10.fcs	Bacillus	11	4.67	11.74	113.79	10.08	407.16	29.59	20.59	137.2	100.92	82.18	16.78	51.89	22.18
SF	AtgE	E11.fcs	Bacillus	11	3.41	13.08	26	5.48	35.57	12.44	15.24	69.13	38.51	0	9.57	39.18	4.03
SF	AtgE	E12.fcs	Bacillus	11	5.62	15.98	43.82	7.53	184.76	11.11	22.77	132.38	68.47	48.74	20.33	55.95	9.55
SF	AtgE	E8.fcs	Bacillus	11	3.15	7.11	27	7.2	62.26	10.5	10.06	58.32	66.56	0	8.71	53.99	5.8
SF	AtgE	E9.fcs	Bacillus	11	4.15	10.57	14.25	8.66	160.05	15.58	12.49	87.31	69.15	0	7.01	37.63	6.07
SF	B6	E3.fcs	Bacillus	11	0	0	2.43	3.23	16.69	6.03	6.16	25.49	28.97	0	1.23	18.8	0
SF	B6	E4.fcs	Bacillus	11	0	2.89	21.92	3.81	31.1	6.29	4.62	35.27	46.34	0	1.63	27.8	2.19
SF	B6	E5.fcs	Bacillus	11	2.24	5.62	167.02	6.74	35.96	9.65	9.87	36.4	116.97	51.78	7.84	47.15	1.46
SF	B6	E6.fcs	Bacillus	11	1.9	6.64	11.39	5.15	31.44	10.47	10.69	88.56	47.18	0	7.05	32.07	2.95
SF	B6	E7.fcs	Bacillus	11	2.07	5.09	51.19	4.49	27.95	9.4	6.26	11.74	27.43	0	9.46	31.13	3.91
NYU	B6	G3.fcs	Bacteroides	5	0	0	315.09	5.48	22.37	0.78	0	0	43.39	4.84	0	61.08	0
NYU	B6	G4.fcs	Bacteroides	5	0	0	62.33	3.04	27.97	2.05	0	0	47.32	12.35	0	107.49	0
NYU	B6	G5.fcs	Bacteroides	5	0	0	231.47	3.15	40.12	2.37	0	0	76.21	10.19	0.93	155.33	0
NYU	B6	G6.fcs	Bacteroides	5	0	1.45	401.25	3.28	22.03	0.95	1.93	8.91	73.64	17.51	2.57	145.49	0
NYU	B6	G7.fcs	Bacteroides	5	0	1.1	627.24	6.56	69.6	4.21	0	4.48	78.63	19.13	1.16	167.72	1.18
NYU	NOD2	G10.fcs	Bacteroides	5	0	4.94	0	0	0	0	1.12	0	95.48	0	0	336.28	0
NYU	NOD2	G11.fcs	Bacteroides	5	0	1.89	2.96	0.73	6.03	2.95	15.13	8.93	10.65	10.17	0	39.59	0
NYU	NOD2	G12.fcs	Bacteroides	5	0	2.28	6.62	0.71	5.96	4.32	0	0	0	2.14	2.42	1.81	2.18
