Name	Location	Genetics	RANTES	MIP-3a	KC	TNF-a	MCP-1	IP-10	IL-1b	IL-10	MIP-1a	MIP-1b	IL-1a	IL-6	GM-CSF	Plate
02-4	NYU	AtgE	24.79	30.05	119.62	33.52	44.19	145.33	21.07	<16.74	21.07	20.86	34.72	<9.77	29.84	P1
02-8	NYU	AtgE	35.63	38.81	175.26	26.57	35.78	42.57	20.38	<16.74	8.88	24.27	19.91	<9.77	27.22	P1
02-9	NYU	AtgE	39.62	57.04	70.42	40.48	49.66	84.24	26.1	<16.74	23.29	25.11	118.64	21.19	35.47	P1
70-1	NYU	AtgE	20.81	17.17	218.74	30.78	32.8	65.06	20.25	<16.74	8.66	<9.77	7.47	<9.77	<21.96	P1
70-2	NYU	AtgE	22.7	35.49	72.04	30.18	20.42	54.52	19.56	<16.74	12.21	12.64	9.11	12.47	<21.96	P1
50 48 52	SF 1	AtgE	27.63	131.01	5567	49.54	129.42	148.83	36.92	<16.74	21.32	25.84	10.68	53.32	<21.96	P1
50 53 49	SF 1	AtgE	58.63	73.76	155.17	49.73	41.33	115.84	35.34	<16.74	20.15	24.11	41.06	11.83	33.44	P1
50 53 50	SF 1	AtgE	35.83	142.97	795.78	57.92	53.92	145.05	35.42	<16.74	22.26	25.21	5.24	22.93	<21.96	P1
50 54 49	SF 1	AtgE	41.47	68.64	559.4	136.09	39.71	<23.60	30.81	<16.74	39.47	13.83	18.45	39.32	47.6	P1
50 55 56	SF 1	AtgE	38.96	60.77	305.28	45.82	60.44	267.48	36.16	<16.74	22.13	23.29	23.34	33.14	<21.96	P1
50 55 57	SF 1	AtgE	48.9	78.11	1482	48.41	51.56	191.12	39.24	<16.74	27.06	22.91	19.2	57.85	26.54	P1
50 57 48	SF 1	AtgE	37.09	41.99	448.28	39.89	39.12	115.66	25.89	<16.74	13.76	25.29	15.48	17.72	<21.96	P1
51 50 57	SF 1	AtgE	33.49	72.34	347.29	48.19	55.56	144.67	39.24	<16.74	31.36	29.5	27.88	53.69	<21.96	P1
51 53 57	SF 1	AtgE	37.55	62.39	69.81	57.57	45.31	66.82	28.82	<16.74	17.83	34.78	16.81	46.02	28.45	P1
51 55 50	SF 1	AtgE	26.75	35.05	492.64	43.96	43.17	119.18	20.25	<16.74	14.63	19.59	19.17	37.96	28.58	P1
51 57 49	SF 1	AtgE	22.03	147.59	356.23	39.98	58.17	94.99	39.72	<16.74	23.23	19.91	8.97	14.72	35.66	P1
51 57 56	SF 1	AtgE	35.11	76.61	1038	63.88	57.22	162.98	30.96	<16.74	27.08	18.44	<2.31	45.55	29.69	P1
50 55 50	SF 2	AtgE	38.94	67.74	847.85	58.09	165.58	512.28	33.01	<16.74	15.15	21.35	6.95	61.56	25.89	P1
51 48 56	SF 2	AtgE	55.92	75.28	478.54	49.36	54.74	76.9	27.59	<16.74	18.87	16.77	3.88	9.77	22.27	P1
51 51 50	SF 2	AtgE	28.26	51.8	149.05	47.4	45.98	122.74	39.07	<16.74	16.54	19.82	7.8	19.55	26.04	P1
71-8	NYU	AtgE	34.25	305.77	185.27	<3.03	9.45	35.7	<2.72	<2.46	<1.06	18.96	4.79	<2.81	<2.87	P2
71-9	NYU	AtgE	31.67	55.08	212.04	<3.03	5.62	20.8	<2.72	<2.46	<1.06	7.49	33.51	<2.81	<2.87	P2
76-2	NYU	AtgE	141.71	550	1246	86.55	168.88	925.82	300.59	602.49	52.9	148.3	309.4	549.42	158.51	P2
76-3	NYU	AtgE	28.02	98.42	216.41	<3.03	33.03	52.29	<2.72	<2.46	<1.06	15.96	16.5	<2.81	<2.87	P2
76-4	NYU	AtgE	12.03	3.76	243.38	<3.03	<3.45	26.12	<2.72	<2.46	<1.06	11.81	54.64	<2.81	<2.87	P2
50 52 53	SF 1	AtgE	16.18	<2.67	130.16	<3.03	<3.45	15.64	<2.72	<2.46	<1.06	7.95	11.17	<2.81	<2.87	P2
50 53 56	SF 1	AtgE	15.44	99.54	1741	3.29	188	73.36	<2.72	<2.46	1.94	14.59	22.58	394.66	<2.87	P2
50 53 57	SF 1	AtgE	6.87	208.96	765.35	<3.03	62.39	33.59	<2.72	<2.46	<1.06	15.96	10.84	379.84	<2.87	P2
50 56 51	SF 1	AtgE	11.66	180.49	715.15	<3.03	67.47	77.07	<2.72	<2.46	3.01	10.23	12.59	87.38	<2.87	P2
51 52 54	SF 1	AtgE	23.13	55.65	174.6	5.67	77.14	50.85	<2.72	<2.46	1.95	21.44	27.68	1533	<2.87	P2
51 56 49	SF 1	AtgE	14.08	80.03	337.34	<3.03	<3.45	88.36	<2.72	<2.46	1.1	13.9	27.4	<2.81	<2.87	P2
51 56 53	SF 1	AtgE	18.99	118.83	190.21	<3.03	23.01	40.86	<2.72	<2.46	2.03	6.06	28.98	<2.81	<2.87	P2
50 52 52	SF 2	AtgE	20.98	148.41	459.95	<3.03	20.05	73.47	<2.72	<2.46	1.89	13.75	13.76	290.95	<2.87	P2
50 54 54	SF 2	AtgE	17.93	98.88	186	4.54	26.93	104.76	<2.72	<2.46	1.56	10.32	3.6	<2.81	<2.87	P2
77-78	NYU	AtgH	27.63	24.51	119.32	25.2	32.28	27.81	20.74	<16.74	9.62	<9.77	7.47	<9.77	<21.96	P1
77-79	NYU	AtgH	25.24	16.4	110.75	37.86	32.61	30.53	18.91	<16.74	14.49	20.53	<2.31	14.27	<21.96	P1
82-7	NYU	AtgH	36.4	46.67	130.65	38.2	38.91	87.27	22.54	<16.74	18.72	14.72	6.24	11.4	<21.96	P1
82-8	NYU	AtgH	39.96	36.61	150.49	58.18	68.69	71.95	35.48	<16.74	17.52	24.66	13.79	<9.77	23.14	P1
82-92	NYU	AtgH	30.76	39.81	148.91	30.28	31.84	48.72	<16.40	<16.74	12.17	12.92	27.16	44.22	23.68	P1
50 49 48	SF 1	AtgH	35.9	38.33	657.18	34.47	38.88	97.22	25.26	<16.74	19.27	13.03	3.32	15.12	22.1	P1
50 57 56	SF 1	AtgH	42.31	131.63	600.34	51.94	75.79	480.6	32.86	<16.74	18.69	18.63	11.49	42.2	22.7	P1
51 50 56	SF 1	AtgH	27.41	152.38	155.15	37.83	56.89	138.5	23.45	<16.74	20.33	15.26	25.62	18.79	21.96	P1
51 56 52	SF 1	AtgH	30.34	47.83	308.66	15.96	56.28	110.95	22.43	<16.74	28.1	20.16	21.38	22.34	26.54	P1
50 51 52	SF 2	AtgH	39.82	79.06	331.23	27.01	41.96	98.63	34.49	<16.74	18.41	32.94	5.63	14.35	24.94	P1
50 55 53	SF 2	AtgH	15.6	134.38	223.69	49.05	45.8	<23.60	29.65	<16.74	18.8	21.64	8.07	<9.77	25.32	P1
50 55 54	SF 2	AtgH	19.85	174.7	279.45	67.8	42.59	134.35	28.24	<16.74	19.06	26.54	6.61	17.78	23.2	P1
51 56 56	SF 2	AtgH	24.59	34.2	332.35	34.47	43.09	183.88	20.7	<16.74	13.01	17.83	15.63	16.5	22.58	P1
30-10	NYU	AtgH	7.09	50.5	487.73	<3.03	27.44	49.7	<2.72	<2.46	<1.06	5.94	27.76	178.19	<2.87	P2
30-33	NYU	AtgH	19.15	<2.67	76.82	<3.03	<3.45	8.83	<2.72	<2.46	<1.06	8.76	34.3	<2.81	<2.87	P2
78-84	NYU	AtgH	24.11	<2.67	256.73	<3.03	<3.45	7.92	<2.72	<2.46	<1.06	8.31	20.84	<2.81	<2.87	P2
86-7	NYU	AtgH	13.19	<2.67	193.15	<3.03	9.36	8.04	<2.72	<2.46	1.2	10.18	20.23	301.76	<2.87	P2
86-8	NYU	AtgH	37.46	<2.67	165.82	<3.03	<3.45	6.3	<2.72	<2.46	<1.06	14.05	22.01	<2.81	<2.87	P2
51 57 57	SF 1	AtgH	14.36	46.64	428.36	<3.03	4.9	25.07	<2.72	<2.46	1.07	4.38	40.22	<2.81	<2.87	P2
50 48 53	SF 1	AtgH	5.87	143.39	334.06	<3.03	<3.45	34.23	<2.72	<2.46	<1.06	6.04	3.96	<2.81	<2.87	P2
51 49 57	SF 1	AtgH	26.38	464.82	557.08	<3.03	64.98	32.88	<2.72	<2.46	1.52	16.45	12.91	<2.81	<2.87	P2
51 51 49	SF 1	AtgH	14.19	84.04	511.41	<3.03	27.01	51.71	<2.72	<2.46	<1.06	9.35	30.9	29.02	<2.87	P2
50 51 49	SF 1	AtgH	9.49	128.18	870.54	<3.03	73.01	329.45	<2.72	<2.46	36.58	7.78	15.1	945.2	<2.87	P2
51 51 55	SF 1	AtgH	42.48	151	232.16	5.37	11.77	92.09	<2.72	<2.46	2.96	20.46	11	<2.81	<2.87	P2
51 53 50	SF 1	AtgH	23.62	69.19	134.87	<3.03	10.67	18.16	<2.72	<2.46	1.51	8.66	14.58	<2.81	<2.87	P2
50 50 55	SF 2	AtgH	8.41	15.7	192.54	<3.03	3.78	25.42	<2.72	<2.46	<1.06	4.76	4.97	<2.81	<2.87	P2
50 55 48	SF 2	AtgH	<3.09	<2.67	<1.78	<3.03	<3.45	<3.01	<2.72	<2.46	<1.06	<1.54	<1.61	<2.81	<2.87	P2
51 50 54	SF 2	AtgH	15.97	258.15	10335	4.29	967.32	400.83	<2.72	<2.46	2.91	20.12	18.16	1209	<2.87	P2
50 49 51	SF 2	AtgH	14.25	112.76	1089	4.94	146.94	59.57	<2.72	<2.46	2.34	10.9	7.17	217.9	<2.87	P2
50 53 55	SF 2	AtgH	10.44	198.77	6979	<3.03	779.17	974.99	<2.72	<2.46	1.57	16.22	4.61	1563	<2.87	P2
51 49 51	SF 2	AtgH	9.52	<2.67	234.78	<3.03	7.79	136.3	<2.72	<2.46	5.7	7.29	4.83	<2.81	<2.87	P2
50 56 56	SF 2	AtgH	30.94	139.11	149.38	<3.03	21.86	38.45	<2.72	<2.46	2.19	9.06	11.33	236.89	7.46	P2
50 56 48	SF 2	AtgH	16.2	253.05	346.58	<3.03	15.39	56.13	<2.72	<2.46	1.68	11.61	3.01	<2.81	<2.87	P2
31-27	NYU	AtgW	28.21	29.03	121.2	29.41	30.89	52.67	<16.40	<16.74	7.31	<9.77	8.84	<9.77	<21.96	P1
31-29	NYU	AtgW	26.1	45.17	212.2	119.11	70.91	121.85	24.74	<16.74	15.34	10.95	43.54	11.38	22.39	P1
31-31	NYU	AtgW	44.44	86.4	89.82	22.43	46.84	92.04	29.98	<16.74	6.47	27.01	50.74	23.8	<21.96	P1
31-80	NYU	AtgW	42.49	42.84	129.09	35.27	50.57	104.78	25.57	<16.74	16.24	19.94	38.87	10.82	<21.96	P1
31-90	NYU	AtgW	49.41	65.23	108.7	37.79	55.83	185.61	28.07	<16.74	15.07	17.75	13.5	15.78	<21.96	P1
51 53 53	SF 1	AtgW	<9.77	<9.77	288.85	<14.42	<14.60	<23.60	<16.40	<16.74	<5.78	<9.77	<2.31	<9.77	<21.96	P1
50 54 52	SF 1	AtgW	34.96	78.65	404.09	47.04	38.18	87.43	31.81	<16.74	18.1	16.77	7.23	<9.77	27.69	P1
50 57 49	SF 1	AtgW	16.66	69.99	444.88	54.95	34.99	81.64	45.61	<16.74	7.82	16.3	19.74	ND	53.91	P1
50 54 53	SF 2	AtgW	38	46.35	133.19	36.48	27.71	57.15	33.75	<16.74	11.86	13.11	7	20.66	22.91	P1
51 57 50	SF 2	AtgW	39	60.28	76.04	52.58	55.91	168.78	35.29	<16.74	24.36	28.69	17.25	18.54	26.71	P1
51 56 51	SF 2	AtgW	33.6	61.81	190.54	53.73	55.36	209.84	33.33	<16.74	31.87	21.1	50.89	<9.77	26.99	P1
32-1	NYU	AtgW	47.54	49.81	249.56	<3.03	<3.45	34.07	<2.72	<2.46	<1.06	18.65	23.45	<2.81	<2.87	P2
32-2	NYU	AtgW	28.54	53.83	98.42	<3.03	<3.45	10.36	<2.72	<2.46	<1.06	59.88	71.18	<2.81	<2.87	P2
32-5	NYU	AtgW	30.31	<2.67	125.7	459.3	112.57	25.28	<2.72	<2.46	1.42	11.01	109.89	<2.81	<2.87	P2
32-8	NYU	AtgW	46.2	202.69	103.66	<3.03	4.28	20.17	<2.72	<2.46	1.22	18.11	38.21	<2.81	<2.87	P2
50 50 49	SF 1	AtgW	14.36	7.74	25.13	<3.03	<3.45	8.12	<2.72	<2.46	<1.06	5.81	17.17	<2.81	<2.87	P2
51 54 55	SF 1	AtgW	26.79	79.53	83.15	<3.03	6.28	28.81	<2.72	<2.46	<1.06	6.71	2.9	<2.81	<2.87	P2
51 48 57	SF 1	AtgW	12.03	87.78	73.34	<3.03	9.87	40.86	<2.72	<2.46	<1.06	8.79	6.22	<2.81	<2.87	P2
50 50 48	SF 1	AtgW	28.32	81.34	422.65	<3.03	25.17	47.44	<2.72	<2.46	1.86	15.84	21.95	<2.81	<2.87	P2
50 49 49	SF 1	AtgW	30.33	188.07	254.5	6.46	40.63	197.64	<2.72	<2.46	4.42	17.36	51.64	101.45	3.02	P2
50 56 52	SF 2	AtgW	7.83	51.54	158.01	<3.03	11.63	41.04	<2.72	<2.46	<1.06	4.17	6.05	<2.81	<2.87	P2
50 56 54	SF 2	AtgW	15.08	86.9	394.4	<3.03	40.99	50.85	<2.72	<2.46	1.46	9.89	4.51	325.28	<2.87	P2
