sample	A4.RANTES.	A5.MIP.3a.	A6.KC.	A7.TNF.a.	A8.MCP.1.	A10.IP.10.	B4.MIP.1a.	B5.MIP.1b.	B6.IL.1a.	B7.IL.6.
515250	35.1889447178931	30.8757127073922	154.240573104302	2.70569858203915	26.3254477561257	210.987184558068	23.4959441578685	15.9306037548923	24.7014165197475	0
505453	58.5727739341593	63.8890639115068	208.283316029581	1.00000000000001	13.0571311218805	8.29542818435697	1.00000000000012	21.8114555599063	11.5846318415825	0
57-1	66.164191031836	128.501957817659	98.1820397597298	16.2972622658772	34.8257792434174	84.0862580366118	33.6496981457194	23.2887759414486	126.520214553889	16.8488322220356
61-3	19.638180049011	105.435558157053	538.989433634684	1.00000000000001	54.6608774329078	117.497745790174	4.75417354093954	8.96315876966447	40.933512436378	222.815335983973
31-27	40.7007950065862	38.5674716998135	106.922581685402	1.00000000000001	6.25492333939598	26.5504682920679	1.00000000000012	12.8432993509039	48.6019189314167	0
70-1	43.0820156474808	27.0703814577314	155.883845626752	1.00000000000001	5.50524488813069	22.8679503669998	1.00000000000012	0	3.84082059873092	0
77-78	38.282525300397	87.3120577650116	240.850710002651	145.11997535988	66.3613943517997	162.990304765259	1.00000000000012	1.34333518900933	33.5459207645166	0
515251	74.8154689669194	216.777611886162	121.579078304971	1.00000000000001	30.4599425415918	100.432166781934	1.00000000000012	26.6401863924169	41.2256704021466	38.7762894372204
515253	71.3884353008133	78.8552455802778	163.989813011078	6.08411009236728	36.2335786135339	127.274000505947	1.00000000000012	14.3933799060224	28.7826095581005	0
504848	83.2465572380149	154.939551597528	142.652879114946	11.0272226251054	44.2432373763783	289.357911531654	1.00000000000012	10.7813210113741	6.82484310875303	0
57-2	76.4121087661642	104.818491220207	295.623513902518	1.00000000000001	9.55423988309447	86.9060262636875	11.5036429679127	25.5710706167109	35.7669165240427	0
61-4	53.6330081885477	108.413113374388	131.916450034314	1.94293838611388	10.6209707444603	30.9174737330703	1.00000000000012	74.1475743320637	89.8322286003894	0
31-29	55.8926145298769	61.5892954076796	162.62605140603	458.426387442645	147.948420322126	67.9509781196101	18.7241956875008	15.8363560191295	131.807019487846	0
70-2	74.8883016969094	270.053966540073	137.887062599822	3.70365655363811	17.0619488126861	56.1397496811141	15.3196070611946	24.9028998618765	53.0958651594011	0
77-79	24.3668658315715	162.172446101013	168.428672234462	1.00000000000001	13.0143970060207	34.3370935889896	16.5751580379128	9.3407944951214	4.17140792374086	0
515553	28.8895922138029	122.865294346963	597.865045429707	1.00000000000001	91.4657891174301	41.6515830311898	1.00000000000012	9.72164176434773	35.8636630252175	515.1112275294
515050	26.7449151622246	218.717177845162	218.08356428863	12.3890682404526	49.6520886023175	104.910937425558	1.00000000000012	3.01975775629161	4.56693341644816	41.9755321395839
515753	41.7797088375848	324.49839795284	4297.60456302188	33.5111518948344	143.134587564461	218.001126637719	24.6963169096967	24.5764702579095	4.96388055994109	268.159619865226
