plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.A10.IP.10.	515250	449536	109.604169476687
Plate-1	NA	Analyte.A10.IP.10.	505453	331776	37.1918781633081
Plate-1	NA	Analyte.A10.IP.10.	57-1	324096	33.2991541884074
Plate-1	NA	Analyte.A10.IP.10.	61-3	284672	15.8782039424791
Plate-1	NA	Analyte.A10.IP.10.	31-27	315136	28.9443436339914
Plate-1	NA	Analyte.A10.IP.10.	70-1	360192	52.7176424919289
Plate-1	NA	Analyte.A10.IP.10.	77-78	211712	0.0601219827493751
Plate-1	NA	Analyte.A10.IP.10.	515251	386304	68.2797630804015
Plate-1	NA	Analyte.A10.IP.10.	515253	409088	82.6610048131031
Plate-1	NA	Analyte.A10.IP.10.	504848	339456	41.2217996784677
Plate-1	NA	Analyte.A10.IP.10.	57-2	298496	21.4475295995249
Plate-1	NA	Analyte.A10.IP.10.	61-4	430848	96.9602414578934
Plate-1	NA	Analyte.A10.IP.10.	31-29	538880	173.218811418874
Plate-1	NA	Analyte.A10.IP.10.	70-2	322048	32.2855167284833
Plate-1	NA	Analyte.A10.IP.10.	77-79	224256	0.818291165708926
Plate-1	NA	Analyte.A10.IP.10.	515553	313088	27.9788324696078
Plate-1	NA	Analyte.A10.IP.10.	515050	573440	198.712675708853
Plate-1	NA	Analyte.A10.IP.10.	515753	447744	108.378823197376
Plate-1	NA	Analyte.A10.IP.10.	505752	341760	42.4561300768446
Plate-1	NA	Analyte.A10.IP.10.	57-3	370432	58.6893304683577
Plate-1	NA	Analyte.A10.IP.10.	64-1	351744	47.9322071692137
Plate-1	NA	Analyte.A10.IP.10.	31-31	449536	109.604169476687
Plate-1	NA	Analyte.A10.IP.10.	31-31	604416	221.793182774935
Plate-1	NA	Analyte.A10.IP.10.	82-92	300032	22.1049463668273
Plate-1	NA	Analyte.A10.IP.10.	515654	427776	94.9120975540905
Plate-1	NA	Analyte.A10.IP.10.	515048	379392	64.0561600974657
Plate-1	NA	Analyte.A10.IP.10.	514851	541440	175.095377392762
