plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.A4.RANTES.	515250	815872	51.5444643939186
Plate-1	NA	Analyte.A4.RANTES.	505453	944640	63.4803121841001
Plate-1	NA	Analyte.A4.RANTES.	57-1	689920	38.7232693489529
Plate-1	NA	Analyte.A4.RANTES.	61-3	807936	50.7755119289729
Plate-1	NA	Analyte.A4.RANTES.	31-27	755712	45.5965778696342
Plate-1	NA	Analyte.A4.RANTES.	70-1	605440	29.092331457838
Plate-1	NA	Analyte.A4.RANTES.	77-78	744192	44.4237449236915
Plate-1	NA	Analyte.A4.RANTES.	515251	684288	38.1131627592337
Plate-1	NA	Analyte.A4.RANTES.	515253	683008	37.9739628985702
Plate-1	NA	Analyte.A4.RANTES.	504848	599552	28.3744739002673
Plate-1	NA	Analyte.A4.RANTES.	57-2	939776	63.0457011773392
Plate-1	NA	Analyte.A4.RANTES.	61-4	843264	54.1656573516402
Plate-1	NA	Analyte.A4.RANTES.	31-29	713728	41.2618843129688
Plate-1	NA	Analyte.A4.RANTES.	70-2	644608	33.6964522904737
Plate-1	NA	Analyte.A4.RANTES.	77-79	696320	39.4119902975265
Plate-1	NA	Analyte.A4.RANTES.	515553	867072	56.4050016675081
Plate-1	NA	Analyte.A4.RANTES.	515050	651264	34.4529346606133
Plate-1	NA	Analyte.A4.RANTES.	515753	877312	57.3577349828883
Plate-1	NA	Analyte.A4.RANTES.	505752	876544	57.286490275114
Plate-1	NA	Analyte.A4.RANTES.	57-3	1123328	78.7635185309286
Plate-1	NA	Analyte.A4.RANTES.	64-1	729088	42.8674893186295
Plate-1	NA	Analyte.A4.RANTES.	31-31	1064448	73.8611091547024
Plate-1	NA	Analyte.A4.RANTES.	31-31	687360	38.4464237124157
Plate-1	NA	Analyte.A4.RANTES.	82-92	805888	50.5763465672851
Plate-1	NA	Analyte.A4.RANTES.	515654	718336	41.7460965698777
Plate-1	NA	Analyte.A4.RANTES.	515048	622592	31.142916592904
Plate-1	NA	Analyte.A4.RANTES.	514851	759552	45.9849190334021
Plate-1	NA	Analyte.A4.RANTES.	515555	786688	48.6941724016999
Plate-1	NA	Analyte.A4.RANTES.	57-4	697344	39.5217437332834
Plate-1	NA	Analyte.A4.RANTES.	64-2	979712	66.5816131037199
Plate-1	NA	Analyte.A4.RANTES.	31-80	1028608	70.816681946647
Plate-1	NA	Analyte.A4.RANTES.	31-80	899840	59.4328849372553
Plate-1	NA	Analyte.A4.RANTES.	82-7	914432	60.7623848643087
Plate-1	NA	Analyte.A4.RANTES.	515255	557568	23.0016513603575
Plate-1	NA	Analyte.A4.RANTES.	504857	593408	27.6171484117876
