plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.A5.MIP.3a.	515250	457728	32.2735430534012
Plate-1	NA	Analyte.A5.MIP.3a.	505453	604928	92.5430022225383
Plate-1	NA	Analyte.A5.MIP.3a.	57-1	433152	23.345268260925
Plate-1	NA	Analyte.A5.MIP.3a.	61-3	564736	75.5213590174795
Plate-1	NA	Analyte.A5.MIP.3a.	31-27	444672	27.4537853753228
Plate-1	NA	Analyte.A5.MIP.3a.	70-1	321536	0.999999999999956
Plate-1	NA	Analyte.A5.MIP.3a.	77-78	399616	12.4089234233183
Plate-1	NA	Analyte.A5.MIP.3a.	515251	330240	0.999999999999956
Plate-1	NA	Analyte.A5.MIP.3a.	515253	467456	35.960875919868
Plate-1	NA	Analyte.A5.MIP.3a.	504848	785152	168.45921277436
Plate-1	NA	Analyte.A5.MIP.3a.	57-2	442624	26.7127948489079
Plate-1	NA	Analyte.A5.MIP.3a.	61-4	501248	49.2622966763009
Plate-1	NA	Analyte.A5.MIP.3a.	31-29	594432	88.0842209792618
Plate-1	NA	Analyte.A5.MIP.3a.	70-2	506368	51.3306362268331
Plate-1	NA	Analyte.A5.MIP.3a.	77-79	312832	0.999999999999956
Plate-1	NA	Analyte.A5.MIP.3a.	515553	1890560	535.733849056172
Plate-1	NA	Analyte.A5.MIP.3a.	515050	530176	61.0824501217079
Plate-1	NA	Analyte.A5.MIP.3a.	515753	838912	190.405926393011
Plate-1	NA	Analyte.A5.MIP.3a.	505752	789248	170.146015307669
Plate-1	NA	Analyte.A5.MIP.3a.	57-3	1341952	373.857993416544
Plate-1	NA	Analyte.A5.MIP.3a.	64-1	477696	39.9182861867609
Plate-1	NA	Analyte.A5.MIP.3a.	31-31	936960	229.285009994879
Plate-1	NA	Analyte.A5.MIP.3a.	31-31	454656	31.1253803329911
Plate-1	NA	Analyte.A5.MIP.3a.	82-92	546304	67.7878183089055
Plate-1	NA	Analyte.A5.MIP.3a.	515654	608000	93.8490895216121
Plate-1	NA	Analyte.A5.MIP.3a.	515048	614656	96.680144315823
Plate-1	NA	Analyte.A5.MIP.3a.	514851	1270784	350.215711785155
Plate-1	NA	Analyte.A5.MIP.3a.	515555	701952	133.737711498834
Plate-1	NA	Analyte.A5.MIP.3a.	57-4	567552	76.7080549878244
Plate-1	NA	Analyte.A5.MIP.3a.	64-2	941056	230.87565142249
Plate-1	NA	Analyte.A5.MIP.3a.	31-80	573696	79.3011291409357
Plate-1	NA	Analyte.A5.MIP.3a.	31-80	537088	63.9479419511219
Plate-1	NA	Analyte.A5.MIP.3a.	82-7	607744	93.7402338138909
Plate-1	NA	Analyte.A5.MIP.3a.	515255	1056512	274.594225533719
Plate-1	NA	Analyte.A5.MIP.3a.	504857	1806080	512.866899013166
Plate-1	NA	Analyte.A5.MIP.3a.	514855	678144	123.669534134939
Plate-1	NA	Analyte.A5.MIP.3a.	515750	724736	143.325114650731
Plate-1	NA	Analyte.A5.MIP.3a.	57-5	720128	141.390331237603
Plate-1	NA	Analyte.A5.MIP.3a.	64-5	1192192	323.277391963139
Plate-1	NA	Analyte.A5.MIP.3a.	31-90	765952	160.521840312783
Plate-1	NA	Analyte.A5.MIP.3a.	31-90	697344	131.792663791441
Plate-1	NA	Analyte.A5.MIP.3a.	82-8	516864	55.60475668046
Plate-1	NA	Analyte.A5.MIP.3a.	515450	640256	107.574640844918
Plate-1	NA	Analyte.A5.MIP.3a.	505750	750080	153.923841531348
Plate-1	NA	Analyte.A5.MIP.3a.	505554	1597952	453.532387087367
Plate-1	NA	Analyte.A5.MIP.3a.	505756	1282816	354.261920276295
Plate-1	NA	Analyte.A5.MIP.3a.	505452	875264	204.998588701067
Plate-1	NA	Analyte.A5.MIP.3a.	504948	532736	62.1421893761139
Plate-1	NA	Analyte.A5.MIP.3a.	515652	617984	98.0961384161146
Plate-1	NA	Analyte.A5.MIP.3a.	515656	494336	46.4893297795311
Plate-1	NA	Analyte.A5.MIP.3a.	515056	1435904	404.035800217666
Plate-1	NA	Analyte.A5.MIP.3a.	505152	878592	206.324188629182
Plate-1	NA	Analyte.A5.MIP.3a.	505553	1303296	361.102693550309
Plate-1	NA	Analyte.A5.MIP.3a.	505350	1366784	381.945868346239
Plate-1	NA	Analyte.A5.MIP.3a.	505550	786688	169.092036817539
Plate-1	NA	Analyte.A5.MIP.3a.	505749	805120	176.660036401593
Plate-1	NA	Analyte.A5.MIP.3a.	505748	566016	76.0606182396879
Plate-1	NA	Analyte.A5.MIP.3a.	515357	742400	150.720024640337
Plate-1	NA	Analyte.A5.MIP.3a.	515057	824320	184.491105251201
Plate-1	NA	Analyte.A5.MIP.3a.	505449	794112	172.146047849001
Plate-1	NA	Analyte.A5.MIP.3a.	505349	835840	189.163382217963
Plate-1	NA	Analyte.A5.MIP.3a.	505556	728832	145.043002318042
Plate-1	NA	Analyte.A5.MIP.3a.	505655	870912	203.262469411677
Plate-1	NA	Analyte.A5.MIP.3a.	504852	1278208	352.714705687278
Plate-1	NA	Analyte.A5.MIP.3a.	515651	737536	148.687302857883
Plate-1	NA	Analyte.A5.MIP.3a.	515550	502272	49.6750292570096
Plate-1	NA	Analyte.A5.MIP.3a.	514856	848128	194.124890402107
Plate-1	NA	Analyte.A5.MIP.3a.	515150	652544	112.801294838413
Plate-1	NA	Analyte.A5.MIP.3a.	515749	1400832	392.903832436323
Plate-1	NA	Analyte.A5.MIP.3a.	515756	858880	198.447103191745
