plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.A6.KC.	515250	2624256	103.014647774644
Plate-1	NA	Analyte.A6.KC.	505453	4047104	158.310113743165
Plate-1	NA	Analyte.A6.KC.	57-1	6794496	254.429455447761
Plate-1	NA	Analyte.A6.KC.	61-3	3392512	133.550703039881
Plate-1	NA	Analyte.A6.KC.	31-27	3742208	146.900922518488
Plate-1	NA	Analyte.A6.KC.	70-1	6132224	232.107339979004
Plate-1	NA	Analyte.A6.KC.	77-78	3694080	145.081098858676
Plate-1	NA	Analyte.A6.KC.	515251	2822400	111.070703965465
Plate-1	NA	Analyte.A6.KC.	515253	3674368	144.334188384716
Plate-1	NA	Analyte.A6.KC.	504848	4054784	158.594949787266
Plate-1	NA	Analyte.A6.KC.	57-2	4518400	175.578317529715
Plate-1	NA	Analyte.A6.KC.	61-4	4364800	169.995903939765
Plate-1	NA	Analyte.A6.KC.	31-29	5977344	226.823991140427
Plate-1	NA	Analyte.A6.KC.	70-2	2441216	95.4444264328267
Plate-1	NA	Analyte.A6.KC.	77-79	3473152	136.656263583201
Plate-1	NA	Analyte.A6.KC.	515553	16161792	548.158715992596
Plate-1	NA	Analyte.A6.KC.	515050	23035136	758.79867702857
Plate-1	NA	Analyte.A6.KC.	515753	6271232	236.827880987623
Plate-1	NA	Analyte.A6.KC.	505752	4751360	183.967670878645
Plate-1	NA	Analyte.A6.KC.	57-3	3499264	137.658293113098
Plate-1	NA	Analyte.A6.KC.	64-1	3259392	128.386300881965
Plate-1	NA	Analyte.A6.KC.	31-31	2923008	115.109870434911
Plate-1	NA	Analyte.A6.KC.	31-31	3701760	145.371856697578
Plate-1	NA	Analyte.A6.KC.	82-92	4441344	172.783051124054
Plate-1	NA	Analyte.A6.KC.	515654	3771904	148.021134846463
Plate-1	NA	Analyte.A6.KC.	515048	13081088	453.87733200193
Plate-1	NA	Analyte.A6.KC.	514851	5582592	213.236537409855
Plate-1	NA	Analyte.A6.KC.	515555	6443008	242.634472682483
Plate-1	NA	Analyte.A6.KC.	57-4	3220992	126.887522115678
Plate-1	NA	Analyte.A6.KC.	64-2	4203776	164.097354642128
Plate-1	NA	Analyte.A6.KC.	31-80	3943424	154.452873042722
Plate-1	NA	Analyte.A6.KC.	31-80	5089536	195.993119222332
Plate-1	NA	Analyte.A6.KC.	82-7	3982848	155.922222983666
Plate-1	NA	Analyte.A6.KC.	515255	4771072	184.673456257777
Plate-1	NA	Analyte.A6.KC.	504857	3002112	118.262772790095
Plate-1	NA	Analyte.A6.KC.	514855	2918400	114.925592806033
Plate-1	NA	Analyte.A6.KC.	515750	2551040	100.001969233041
Plate-1	NA	Analyte.A6.KC.	57-5	3926784	153.831703845708
Plate-1	NA	Analyte.A6.KC.	64-5	3779328	148.300874471278
Plate-1	NA	Analyte.A6.KC.	31-90	3419904	134.607501327899
Plate-1	NA	Analyte.A6.KC.	31-90	2396416	93.5715271601831
Plate-1	NA	Analyte.A6.KC.	82-8	4480512	174.205202782441
Plate-1	NA	Analyte.A6.KC.	515450	2594560	101.795139810981
Plate-1	NA	Analyte.A6.KC.	505750	3791872	148.773254867424
Plate-1	NA	Analyte.A6.KC.	505554	7544064	279.237469898378
Plate-1	NA	Analyte.A6.KC.	505756	14498048	497.338275302325
Plate-1	NA	Analyte.A6.KC.	505452	10327552	368.39334324648
Plate-1	NA	Analyte.A6.KC.	504948	15670016	533.150720176159
Plate-1	NA	Analyte.A6.KC.	515652	8208640	300.896687170752
Plate-1	NA	Analyte.A6.KC.	515656	8741632	318.075465661622
Plate-1	NA	Analyte.A6.KC.	515056	4595968	178.381772212438
Plate-1	NA	Analyte.A6.KC.	505152	8716544	317.270314030165
Plate-1	NA	Analyte.A6.KC.	505553	6249216	236.081557258111
Plate-1	NA	Analyte.A6.KC.	505350	18475008	618.740229031268
Plate-1	NA	Analyte.A6.KC.	505550	19511552	650.422743044732
Plate-1	NA	Analyte.A6.KC.	505749	11212544	396.071976237129
Plate-1	NA	Analyte.A6.KC.	505748	11285760	398.3516942537
Plate-1	NA	Analyte.A6.KC.	515357	2379776	92.8737917715797
Plate-1	NA	Analyte.A6.KC.	515057	9075200	328.750603482083
Plate-1	NA	Analyte.A6.KC.	505449	13644800	471.195848016778
Plate-1	NA	Analyte.A6.KC.	505349	4596480	178.400242857875
Plate-1	NA	Analyte.A6.KC.	505556	8132096	298.416297809398
Plate-1	NA	Analyte.A6.KC.	505655	31568384	1029.27631888901
Plate-1	NA	Analyte.A6.KC.	504852	97986560	4177.0423673312
Plate-1	NA	Analyte.A6.KC.	515651	5459456	208.960001096836
Plate-1	NA	Analyte.A6.KC.	515550	12235776	427.814579301486
Plate-1	NA	Analyte.A6.KC.	514856	11934976	418.507878205819
Plate-1	NA	Analyte.A6.KC.	515150	4444672	172.903993073832
Plate-1	NA	Analyte.A6.KC.	515749	9274112	335.090967856915
Plate-1	NA	Analyte.A6.KC.	515756	23220992	764.554524284169
Plate-1	NA	Analyte.A6.KC.	515353	7758848	286.269121405619
Plate-1	NA	Analyte.A6.KC.	505452	9266944	334.862801040044
Plate-1	NA	Analyte.A6.KC.	505749	10515712	374.298503716557
Plate-2	NA	Analyte.A6.KC.	59-5	5260288	202.0015555744
Plate-2	NA	Analyte.A6.KC.	65-2	1901056	72.2711174425413
Plate-2	NA	Analyte.A6.KC.	65-3	4928768	190.297829293476
Plate-2	NA	Analyte.A6.KC.	66-1	6793472	254.395253430658
Plate-2	NA	Analyte.A6.KC.	66-4	4644352	180.125305855915
Plate-2	NA	Analyte.A6.KC.	66-5	5703936	217.432595906597
Plate-2	NA	Analyte.A6.KC.	59-1	6601728	247.974625878273
Plate-2	NA	Analyte.A6.KC.	59-2	8041216	295.466742585215
Plate-2	NA	Analyte.A6.KC.	59-3	955904	27.8403614810703
Plate-2	NA	Analyte.A6.KC.	59-4	3607808	141.805349124194
Plate-2	NA	Analyte.A6.KC.	78-84	7762944	286.402912270924
Plate-2	NA	Analyte.A6.KC.	86-7	5842944	222.218061978308
Plate-2	NA	Analyte.A6.KC.	86-8	5044992	194.418918169137
Plate-2	NA	Analyte.A6.KC.	76-2	38977024	1277.95201249895
Plate-2	NA	Analyte.A6.KC.	76-3	6535680	245.75528975661
Plate-2	NA	Analyte.A6.KC.	76-4	7353344	272.966345280046
Plate-2	NA	Analyte.A6.KC.	71-8	5611008	214.220757550316
Plate-2	NA	Analyte.A6.KC.	71-9	6404608	241.338923511192
Plate-2	NA	Analyte.A6.KC.	30-10	15170816	517.906425675946
Plate-2	NA	Analyte.A6.KC.	30-33	2589952	101.605611908321
Plate-2	NA	Analyte.A6.KC.	505248	15724544	534.815194923882
Plate-2	NA	Analyte.A6.KC.	514949	7998208	294.069119256823
Plate-2	NA	Analyte.A6.KC.	515249	3648512	143.353085999865
Plate-2	NA	Analyte.A6.KC.	32-1	7542528	279.187068692147
Plate-2	NA	Analyte.A6.KC.	32-2	3164160	124.661656131752
Plate-2	NA	Analyte.A6.KC.	32-5	3909376	153.18123118331
Plate-2	NA	Analyte.A6.KC.	32-8	3305728	130.1893693552
Plate-2	NA	Analyte.A6.KC.	505148	944128	27.252034184579
Plate-2	NA	Analyte.A6.KC.	504849	17099264	576.756498187152
Plate-2	NA	Analyte.A6.KC.	505551	12882688	447.771124683196
Plate-2	NA	Analyte.A6.KC.	504851	5352960	205.245791120416
Plate-2	NA	Analyte.A6.KC.	505352	15312128	522.222983665063
Plate-2	NA	Analyte.A6.KC.	505055	5825024	221.602404013863
Plate-2	NA	Analyte.A6.KC.	505050	44787712	1484.65987444359
Plate-2	NA	Analyte.A6.KC.	505057	4990720	192.49702284981
Plate-2	NA	Analyte.A6.KC.	515055	7188224	267.515171518374
Plate-2	NA	Analyte.A6.KC.	505155	14768640	505.614807869892
Plate-2	NA	Analyte.A6.KC.	515356	28962560	945.144973133257
Plate-2	NA	Analyte.A6.KC.	515453	33942016	1107.3256314208
Plate-2	NA	Analyte.A6.KC.	505154	6387456	240.759785512217
Plate-2	NA	Analyte.A6.KC.	515757	13230592	458.474717355867
Plate-2	NA	Analyte.A6.KC.	504853	10188800	364.031081017426
Plate-2	NA	Analyte.A6.KC.	514957	17446656	587.353888032423
Plate-2	NA	Analyte.A6.KC.	505548	188672	3.44000000000001
Plate-2	NA	Analyte.A6.KC.	515149	15947520	541.620475624026
Plate-2	NA	Analyte.A6.KC.	505149	27593728	901.541180091561
Plate-2	NA	Analyte.A6.KC.	504951	34337792	1120.48042617537
Plate-2	NA	Analyte.A6.KC.	514951	7090944	264.293759132866
Plate-2	NA	Analyte.A6.KC.	515254	5299200	203.365177061961
Plate-2	NA	Analyte.A6.KC.	515649	10293248	367.315471343434
Plate-2	NA	Analyte.A6.KC.	505253	4033536	157.80660820446
Plate-2	NA	Analyte.A6.KC.	515155	7011584	261.660175960989
Plate-2	NA	Analyte.A6.KC.	505656	4574208	177.596360139947
Plate-2	NA	Analyte.A6.KC.	515350	4165120	162.673972284173
Plate-2	NA	Analyte.A6.KC.	505648	10588160	376.569095099786
Plate-2	NA	Analyte.A6.KC.	505357	24236032	796.075560272174
Plate-2	NA	Analyte.A6.KC.	515653	5756160	219.233085521374
Plate-2	NA	Analyte.A6.KC.	505651	22613248	745.750028408339
Plate-2	NA	Analyte.A6.KC.	505652	4820480	186.439796323553
Plate-2	NA	Analyte.A6.KC.	505654	12127488	424.466325876653
Plate-2	NA	Analyte.A6.KC.	505049	1248256	42.1864371110789
Plate-2	NA	Analyte.A6.KC.	505454	5632512	214.964918146453
Plate-2	NA	Analyte.A6.KC.	505356	52299520	1770.03412563202
Plate-2	NA	Analyte.A6.KC.	505252	14261504	490.09814632544
Plate-2	NA	Analyte.A6.KC.	515748	5827072	221.672783464948
Plate-2	NA	Analyte.A6.KC.	515455	2756864	108.421378317506
Plate-2	NA	Analyte.A6.KC.	514857	2498816	97.8406253560015
Plate-2	NA	Analyte.A6.KC.	514849	11094272	392.386305341604
Plate-2	NA	Analyte.A6.KC.	505650	19250432	642.435635656728
Plate-2	NA	Analyte.A6.KC.	505048	13044736	452.758972820446
Plate-2	NA	Analyte.A6.KC.	504949	7694336	284.160429562028
