plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.A8.MCP.1.	515250	399872	12.8321399313003
Plate-1	NA	Analyte.A8.MCP.1.	505453	324864	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	57-1	297216	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	61-3	355072	3.17842046631486
Plate-1	NA	Analyte.A8.MCP.1.	31-27	354048	2.92391359673182
Plate-1	NA	Analyte.A8.MCP.1.	70-1	371712	7.01667117089282
Plate-1	NA	Analyte.A8.MCP.1.	77-78	366848	5.93906399340035
Plate-1	NA	Analyte.A8.MCP.1.	515251	238336	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	515253	342016	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	504848	399360	12.7313441086576
Plate-1	NA	Analyte.A8.MCP.1.	57-2	282112	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	61-4	330752	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	31-29	758784	66.4360311248783
Plate-1	NA	Analyte.A8.MCP.1.	70-2	259328	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	77-79	369920	6.62297774366655
Plate-1	NA	Analyte.A8.MCP.1.	515553	990208	92.6437928185477
Plate-1	NA	Analyte.A8.MCP.1.	515050	1136640	107.495458250038
Plate-1	NA	Analyte.A8.MCP.1.	515753	343040	0.999999999999917
Plate-1	NA	Analyte.A8.MCP.1.	505752	592384	44.4786696970963
Plate-1	NA	Analyte.A8.MCP.1.	57-3	345856	0.708941007939273
Plate-1	NA	Analyte.A8.MCP.1.	64-1	378880	8.55778899357178
Plate-1	NA	Analyte.A8.MCP.1.	31-31	506624	31.5503082863544
Plate-1	NA	Analyte.A8.MCP.1.	31-31	480512	27.3029175602165
Plate-1	NA	Analyte.A8.MCP.1.	82-92	362752	5.00707532764417
Plate-1	NA	Analyte.A8.MCP.1.	515654	357376	3.74054640101569
Plate-1	NA	Analyte.A8.MCP.1.	515048	398336	12.5292934749421
Plate-1	NA	Analyte.A8.MCP.1.	514851	387072	10.2632185561815
Plate-1	NA	Analyte.A8.MCP.1.	515555	366080	5.76616746877862
Plate-1	NA	Analyte.A8.MCP.1.	57-4	358912	4.10826055460243
Plate-1	NA	Analyte.A8.MCP.1.	64-2	546560	37.7456741258373
Plate-1	NA	Analyte.A8.MCP.1.	31-80	544000	37.358336859164
Plate-1	NA	Analyte.A8.MCP.1.	31-80	399616	12.7817610138752
Plate-1	NA	Analyte.A8.MCP.1.	82-7	429312	18.404421467751
Plate-1	NA	Analyte.A8.MCP.1.	515255	396032	12.0723945714648
Plate-1	NA	Analyte.A8.MCP.1.	504857	589824	44.1119303411979
Plate-1	NA	Analyte.A8.MCP.1.	514855	514304	32.7683251886345
Plate-1	NA	Analyte.A8.MCP.1.	515750	598528	45.3546006621435
Plate-1	NA	Analyte.A8.MCP.1.	57-5	447488	21.6623512729576
Plate-1	NA	Analyte.A8.MCP.1.	64-5	408832	14.5725819812183
Plate-1	NA	Analyte.A8.MCP.1.	31-90	597760	45.2454337116938
Plate-1	NA	Analyte.A8.MCP.1.	31-90	534784	35.9532898346874
Plate-1	NA	Analyte.A8.MCP.1.	82-8	734464	63.4258324823194
Plate-1	NA	Analyte.A8.MCP.1.	515450	608768	46.8014776749503
Plate-1	NA	Analyte.A8.MCP.1.	505750	495360	29.7389232153015
