plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B2.IL.1b.	515250	390144	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505453	587520	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	57-1	313088	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	61-3	337408	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-27	328448	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	70-1	426752	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	77-78	432640	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515251	555520	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515253	508672	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	504848	544256	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	57-2	415232	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	61-4	379904	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-29	480000	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	70-2	418560	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	77-79	410880	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515553	493056	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515050	491776	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515753	527104	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505752	476672	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	57-3	454912	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	64-1	480512	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-31	542208	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-31	436480	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	82-92	364032	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515654	463616	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515048	506368	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	514851	530432	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515555	531968	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	57-4	434432	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	64-2	417536	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-80	489728	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-80	428288	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	82-7	453888	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515255	414976	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	504857	617984	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	514855	594176	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515750	606208	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	57-5	350208	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	64-5	456960	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-90	519424	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	31-90	496128	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	82-8	608512	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515450	632320	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505750	550656	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505554	521472	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505756	576768	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505452	564224	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	504948	486144	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515652	452608	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515656	432128	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515056	464640	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505152	596480	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505553	538368	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505350	607744	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505550	578560	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505749	733440	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505748	493568	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515357	528384	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515057	654336	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505449	552192	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505349	606720	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505556	616704	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	505655	654336	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	504852	625920	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515651	582400	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515550	426752	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	514856	513792	3.43999999999912
Plate-1	NA	Analyte.B2.IL.1b.	515150	652288	3.43999999999912
