plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B4.MIP.1a.	515250	606720	2.88582597609988
Plate-1	NA	Analyte.B4.MIP.1a.	505453	502528	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	57-1	466432	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	61-3	464384	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	31-27	400384	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	70-1	431360	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	77-78	453120	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	515251	391936	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	515253	610816	3.03157497998001
Plate-1	NA	Analyte.B4.MIP.1a.	504848	671488	5.26967604059555
Plate-1	NA	Analyte.B4.MIP.1a.	57-2	441344	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	61-4	428544	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	31-29	578560	1.90760711955981
Plate-1	NA	Analyte.B4.MIP.1a.	70-2	510208	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	77-79	560128	1.29407897192863
Plate-1	NA	Analyte.B4.MIP.1a.	515553	573440	1.73479813129209
Plate-1	NA	Analyte.B4.MIP.1a.	515050	687360	5.87507819148243
Plate-1	NA	Analyte.B4.MIP.1a.	515753	591360	2.34677501718595
Plate-1	NA	Analyte.B4.MIP.1a.	505752	683008	5.70839670177771
Plate-1	NA	Analyte.B4.MIP.1a.	57-3	571648	1.67472904420914
Plate-1	NA	Analyte.B4.MIP.1a.	64-1	346624	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	31-31	380672	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	31-31	703232	6.48704865118134
Plate-1	NA	Analyte.B4.MIP.1a.	82-92	509440	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	515654	633600	3.85589809393237
Plate-1	NA	Analyte.B4.MIP.1a.	515048	459776	0.999999999999988
Plate-1	NA	Analyte.B4.MIP.1a.	514851	569856	1.61488181588341
Plate-1	NA	Analyte.B4.MIP.1a.	515555	544000	0.779358870623575
