plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B5.MIP.1b.	515250	940032	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	505453	1012736	6.32918374935948
Plate-1	NA	Analyte.B5.MIP.1b.	57-1	863488	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	61-3	932864	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	31-27	799488	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	70-1	801792	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	77-78	845056	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	515251	1027584	7.92843208911457
Plate-1	NA	Analyte.B5.MIP.1b.	515253	916224	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	504848	1137664	17.3879498285963
Plate-1	NA	Analyte.B5.MIP.1b.	57-2	1458688	38.8849918064254
Plate-1	NA	Analyte.B5.MIP.1b.	61-4	965888	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	31-29	937728	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	70-2	996608	4.32009565789931
Plate-1	NA	Analyte.B5.MIP.1b.	77-79	1257728	26.0012522676617
Plate-1	NA	Analyte.B5.MIP.1b.	515553	1078016	12.5905179918321
Plate-1	NA	Analyte.B5.MIP.1b.	515050	1458688	38.8849918064254
Plate-1	NA	Analyte.B5.MIP.1b.	515753	1105920	14.8991447851788
Plate-1	NA	Analyte.B5.MIP.1b.	505752	1008640	5.85393005326559
Plate-1	NA	Analyte.B5.MIP.1b.	57-3	1278976	27.435457167473
Plate-1	NA	Analyte.B5.MIP.1b.	64-1	1118208	15.8774411983182
Plate-1	NA	Analyte.B5.MIP.1b.	31-31	1464832	39.2591743700512
Plate-1	NA	Analyte.B5.MIP.1b.	31-31	1268224	26.7123782515449
Plate-1	NA	Analyte.B5.MIP.1b.	82-92	1006336	5.57795535365488
Plate-1	NA	Analyte.B5.MIP.1b.	515654	1376512	33.7810468838523
Plate-1	NA	Analyte.B5.MIP.1b.	515048	950016	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	514851	1097984	14.2558606006445
Plate-1	NA	Analyte.B5.MIP.1b.	515555	1252608	25.65239900232
Plate-1	NA	Analyte.B5.MIP.1b.	57-4	1072128	12.0846302439025
Plate-1	NA	Analyte.B5.MIP.1b.	64-2	1612032	47.9656569559374
Plate-1	NA	Analyte.B5.MIP.1b.	31-80	1238784	24.7037646648724
Plate-1	NA	Analyte.B5.MIP.1b.	31-80	1377536	33.8458748161974
Plate-1	NA	Analyte.B5.MIP.1b.	82-7	1067264	11.6608263498146
Plate-1	NA	Analyte.B5.MIP.1b.	515255	1148160	18.1857158672348
Plate-1	NA	Analyte.B5.MIP.1b.	504857	1256192	25.8967339102417
Plate-1	NA	Analyte.B5.MIP.1b.	514855	1057024	10.7490529252869
Plate-1	NA	Analyte.B5.MIP.1b.	515750	1518080	42.4635292942484
Plate-1	NA	Analyte.B5.MIP.1b.	57-5	1134592	17.1523001982887
Plate-1	NA	Analyte.B5.MIP.1b.	64-5	913920	1.00000000000005
Plate-1	NA	Analyte.B5.MIP.1b.	31-90	1167360	19.6180672709659
Plate-1	NA	Analyte.B5.MIP.1b.	31-90	1404416	35.5359765294954
Plate-1	NA	Analyte.B5.MIP.1b.	82-8	1390080	34.6373412226901
Plate-1	NA	Analyte.B5.MIP.1b.	515450	1075968	12.4154046870894
Plate-1	NA	Analyte.B5.MIP.1b.	505750	1086208	13.2825265891759
Plate-1	NA	Analyte.B5.MIP.1b.	505554	1449728	38.3375708113081
Plate-1	NA	Analyte.B5.MIP.1b.	505756	1196032	21.7008860680304
Plate-1	NA	Analyte.B5.MIP.1b.	505452	1135104	17.1916455832908
Plate-1	NA	Analyte.B5.MIP.1b.	504948	1009920	6.004440435247
