plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B6.IL.1a.	515250	1715968	18.0646320865253
Plate-1	NA	Analyte.B6.IL.1a.	505453	886016	2.69894961923731
Plate-1	NA	Analyte.B6.IL.1a.	57-1	906752	2.97269633150222
Plate-1	NA	Analyte.B6.IL.1a.	61-3	1119232	6.25385847554846
Plate-1	NA	Analyte.B6.IL.1a.	31-27	961280	3.73692489279718
Plate-1	NA	Analyte.B6.IL.1a.	70-1	905216	2.95208565812946
Plate-1	NA	Analyte.B6.IL.1a.	77-78	905216	2.95208565812946
Plate-1	NA	Analyte.B6.IL.1a.	515251	1730048	18.3674039566704
Plate-1	NA	Analyte.B6.IL.1a.	515253	802816	1.70659298606602
Plate-1	NA	Analyte.B6.IL.1a.	504848	984064	4.07387395741046
Plate-1	NA	Analyte.B6.IL.1a.	57-2	2764032	41.4502963111038
Plate-1	NA	Analyte.B6.IL.1a.	61-4	1036800	4.88972001235284
Plate-1	NA	Analyte.B6.IL.1a.	31-29	2518272	35.9020203716415
Plate-1	NA	Analyte.B6.IL.1a.	70-2	972544	3.90227503763476
Plate-1	NA	Analyte.B6.IL.1a.	77-79	494848	0.000338613789302459
Plate-1	NA	Analyte.B6.IL.1a.	515553	1085440	5.68255760448435
Plate-1	NA	Analyte.B6.IL.1a.	515050	1351680	10.5428315402225
Plate-1	NA	Analyte.B6.IL.1a.	515753	1136896	6.55867017788967
Plate-1	NA	Analyte.B6.IL.1a.	505752	1229824	8.22473034082467
Plate-1	NA	Analyte.B6.IL.1a.	57-3	2197760	28.6859981639125
Plate-1	NA	Analyte.B6.IL.1a.	64-1	2152960	27.6827237705841
Plate-1	NA	Analyte.B6.IL.1a.	31-31	2883328	44.1406414499966
Plate-1	NA	Analyte.B6.IL.1a.	31-31	2091008	26.2988619249163
Plate-1	NA	Analyte.B6.IL.1a.	82-92	1742080	18.6266492092969
Plate-1	NA	Analyte.B6.IL.1a.	515654	911104	3.03137699999465
Plate-1	NA	Analyte.B6.IL.1a.	515048	994560	4.232355445074
Plate-1	NA	Analyte.B6.IL.1a.	514851	1030144	4.78412891956076
Plate-1	NA	Analyte.B6.IL.1a.	515555	2236672	29.5588906804161
