plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B7.IL.6.	515250	452096	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	505453	861696	13.7444661720435
Plate-1	NA	Analyte.B7.IL.6.	57-1	538112	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	61-3	374272	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	31-27	503808	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	70-1	520192	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	77-78	352256	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	515251	458240	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	515253	850432	10.3972237574827
Plate-1	NA	Analyte.B7.IL.6.	504848	641792	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	57-2	484608	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	61-4	488448	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	31-29	644352	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	70-2	672512	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	77-79	717312	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	515553	1517056	187.803108032367
Plate-1	NA	Analyte.B7.IL.6.	515050	8552704	1012.09471514339
Plate-1	NA	Analyte.B7.IL.6.	515753	604672	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	505752	406528	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	57-3	499200	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	64-1	470784	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	31-31	926464	33.1059297551832
Plate-1	NA	Analyte.B7.IL.6.	31-31	574720	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	82-92	1294592	134.42251540112
Plate-1	NA	Analyte.B7.IL.6.	515654	891904	22.7809180822321
Plate-1	NA	Analyte.B7.IL.6.	515048	1017600	59.8009027549739
Plate-1	NA	Analyte.B7.IL.6.	514851	810752	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	515555	973824	47.0965662290326
Plate-1	NA	Analyte.B7.IL.6.	57-4	628736	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	64-2	517632	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	31-80	629248	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	31-80	525056	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	82-7	644864	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	515255	968704	45.5955432492858
Plate-1	NA	Analyte.B7.IL.6.	504857	642816	0.999999999999852
Plate-1	NA	Analyte.B7.IL.6.	514855	962048	43.639759920732
