plate	well	analyte	sample	mfi	est_c
Plate-1	NA	Analyte.B9.GM.CSF.	515250	403712	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505453	483840	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	57-1	266752	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	61-3	361216	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-27	266496	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	70-1	283136	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	77-78	407296	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515251	837888	34.1496160935187
Plate-1	NA	Analyte.B9.GM.CSF.	515253	425472	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	504848	633344	21.5678053358363
Plate-1	NA	Analyte.B9.GM.CSF.	57-2	396032	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	61-4	373760	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-29	476928	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	70-2	325120	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	77-79	403456	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515553	402432	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515050	517376	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515753	542720	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505752	447488	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	57-3	510464	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	64-1	494848	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-31	218880	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-31	577280	13.1859408915863
Plate-1	NA	Analyte.B9.GM.CSF.	82-92	494080	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515654	523520	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515048	540672	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	514851	279040	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515555	548096	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	57-4	498176	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	64-2	425216	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-80	447488	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-80	541696	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	82-7	459008	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515255	445184	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	504857	577792	13.3250921427593
Plate-1	NA	Analyte.B9.GM.CSF.	514855	526080	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515750	534784	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	57-5	535296	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	64-5	521728	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-90	468736	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	31-90	655360	23.5407176133828
Plate-1	NA	Analyte.B9.GM.CSF.	82-8	486912	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515450	539648	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505750	426496	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505554	487680	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505756	481024	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505452	548096	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	504948	473088	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515652	532480	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515656	479488	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515056	471296	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505152	510976	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505553	516096	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505350	464128	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505550	523776	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505749	928000	38.0455968649075
Plate-1	NA	Analyte.B9.GM.CSF.	505748	398080	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515357	558336	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515057	436224	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505449	831488	33.8554436676923
Plate-1	NA	Analyte.B9.GM.CSF.	505349	626944	20.9226068007375
Plate-1	NA	Analyte.B9.GM.CSF.	505556	449792	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505655	532480	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	504852	419328	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515651	538624	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515550	560128	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	514856	475392	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515150	525824	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	515749	657920	23.7503255175048
Plate-1	NA	Analyte.B9.GM.CSF.	515756	575232	12.5946435973171
Plate-1	NA	Analyte.B9.GM.CSF.	515353	115200	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505452	86784	1.00000000001979
Plate-1	NA	Analyte.B9.GM.CSF.	505749	96000	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	59-5	355072	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	65-2	456448	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	65-3	437760	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	66-1	383488	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	66-4	449024	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	66-5	415488	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	59-1	397312	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	59-2	498176	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	59-3	428544	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	59-4	449536	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	78-84	498944	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	86-7	559104	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	86-8	529408	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	76-2	2821888	157.25
Plate-2	NA	Analyte.B9.GM.CSF.	76-3	600320	17.667519654765
Plate-2	NA	Analyte.B9.GM.CSF.	76-4	466432	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	71-8	476160	1.00000000001979
Plate-2	NA	Analyte.B9.GM.CSF.	71-9	482304	1.00000000001979
