mouse id	RFID	Genotype	Environment	Weight gain-	Wedge cage	Gender	Pregnant	Diarrhea	Tissue	Flow-date	RANTES	MIP 3a	KC	TNF a	MCP 1	IP 10	MIP 1a	MIP 1b	IL 1a	IL 6	CCL2 B. subtilis	CCL2 B. vulgatus	CCL2 C. albicans	CCL2 aCD3-CD28	CCL2 C. perfringens	CCL2 PBS	CCL2 P. aeruginosa	CCL2 S. aureus	IL-1a B. subtilis	IL-1a B. vulgatus	IL-1a C. albicans	IL-1a aCD3-CD28	IL-1a C. perfringens	IL-1a PBS	IL-1a P. aeruginosa	IL-1a S. aureus	IL-5 B. subtilis	IL-5 B. vulgatus	IL-5 C. albicans	IL-5 aCD3-CD28	IL-5 C. perfringens	IL-5 PBS	IL-5 P. aeruginosa	IL-5 S. aureus	IFN-y B. subtilis	IFN-y B. vulgatus	IFN-y C. albicans	IFN-y aCD3-CD28	IFN-y C. perfringens	IFN-y PBS	IFN-y P. aeruginosa	IFN-y S. aureus	TNF-a B. subtilis	TNF-a B. vulgatus	TNF-a C. albicans	TNF-a aCD3-CD28	TNF-a C. perfringens	TNF-a PBS	TNF-a P. aeruginosa	TNF-a S. aureus	CXCL1 B. subtilis	CXCL1 B. vulgatus	CXCL1 C. albicans	CXCL1 aCD3-CD28	CXCL1 C. perfringens	CXCL1 PBS	CXCL1 P. aeruginosa	CXCL1 S. aureus	IL-1b B. subtilis	IL-1b B. vulgatus	IL-1b C. albicans	IL-1b aCD3-CD28	IL-1b C. perfringens	IL-1b PBS	IL-1b P. aeruginosa	IL-1b S. aureus	IL-10 B. subtilis	IL-10 B. vulgatus	IL-10 C. albicans	IL-10 aCD3-CD28	IL-10 C. perfringens	IL-10 PBS	IL-10 P. aeruginosa	IL-10 S. aureus	CCL3 B. subtilis	CCL3 B. vulgatus	CCL3 C. albicans	CCL3 aCD3-CD28	CCL3 C. perfringens	CCL3 PBS	CCL3 P. aeruginosa	CCL3 S. aureus	CCL4 B. subtilis	CCL4 B. vulgatus	CCL4 C. albicans	CCL4 aCD3-CD28	CCL4 C. perfringens	CCL4 PBS	CCL4 P. aeruginosa	CCL4 S. aureus	IL-17 B. subtilis	IL-17 B. vulgatus	IL-17 C. albicans	IL-17 aCD3-CD28	IL-17 C. perfringens	IL-17 PBS	IL-17 P. aeruginosa	IL-17 S. aureus	IL-6 B. subtilis	IL-6 B. vulgatus	IL-6 C. albicans	IL-6 aCD3-CD28	IL-6 C. perfringens	IL-6 PBS	IL-6 P. aeruginosa	IL-6 S. aureus	IL-13 B. subtilis	IL-13 B. vulgatus	IL-13 C. albicans	IL-13 aCD3-CD28	IL-13 C. perfringens	IL-13 PBS	IL-13 P. aeruginosa	IL-13 S. aureus	Blood Total T cells	Blood Total B cells	Blood CD4 T cells	Blood CD8 T cells	Blood CD4 T cells CD44lo CD62Lhi	Blood CD4 T cells CD44hi CD62Lhi	Blood CD4 T cells CD44hi CD62Llo	Blood CD4 T cells CD44lo CD62Llo	Blood CD8 T cells CD44lo CD62Lhi	Blood CD8 T cells CD44hi CD62Lhi	Blood CD8 T cells CD44hi CD62Llo	Blood CD8 T cells CD44lo CD62Llo	Blood Total myeloid CD11b CD11c	Blood CD4 T cells CD25+	Blood Total immune cells CD45+	MLN Total T cells	MLN Total B cells	MLN CD4 T cells	MLN CD8 T cells	MLN CD4 T cells CD44lo CD62Lhi	MLN CD4 T cells CD44hi CD62Lhi	MLN CD4 T cells CD44hi CD62Llo	MLN CD4 T cells CD44lo CD62Llo	MLN CD8 T cells CD44lo CD62Lhi	MLN CD8 T cells CD44hi CD62Lhi	MLN CD8 T cells CD44hi CD62Llo	MLN CD8 T cells CD44lo CD62Llo	MLN Total myeloid CD11b CD11c	MLN CD4 T cells CD25+	MLN Total immune cells CD45+	MLN Eosinphils	MLN Neutrophils	MLN Ly6C Monocyte	MLN CD11c MHCII	MLN CD103 CD11c MHCII DC	MLN CD103neg CD11c MHCII DC
30-21	E7 AtgH PBMC 30-21 lymph.fcs	AtgH	lab	6.912442396	2537330	M	N	N	blood	28-Jul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4.543289274	1.694323017	1	2.923100984	1.359467616	4.742896423	1.030450063	0	1.827070852	1.497703418	0	2.339850728	1.569059631	2.953567008	0	0	3.804266333	2.330154076	0	2.797412651	1.014577384	3.149304666	0	0	7.573612606	84.33966466	0	2.079766646	4.244868824	10.23492744	2.279297449	1.511375371	2.213446344	6.392926585	1	1.546596255	3.992718716	4.153447722	24.06130327	4.609331663	5.03133079	4.19539967	1	7.999064292	8.351622781	10.38592217	1.020070945	0	4.485140105	2.62292622	1	0	0	2.750101222	1	1	1	1	1	1	1	1	19.4760587	17.77187979	4.858967929	83.24673419	1	0	40.75941148	66.12284156	6.408185172	0	4.349869195	30.73113027	0	0	0	49.77606128	0	4.019164426	2.645179718	4.04445756	0	26.94473988	0	4.01495507	24.08223694	123.5275738	12.9729064	1	1	1	39.80134265	1	0	0	1.515916726	0	0	0	0	2.045490256	9.66	57.5	4.98	2.14	71.5	1.74	6.94	19.8	74.2	8.87	2.42	14.5	19.2	0.31	3.36	36.5	30.9	14.2	8.44	51.6	3.12	15.2	30.1	42.1	2.92	6.14	48.8	3.8	2.11	91	0.049	0.013	1.03	1.78	0.29	0.86
30-33	E10 AtgH PBMC 30-33 lymph.fcs	AtgH	lab	14.79820628	2537330	M	N	N	blood	28-Jul	62.7247334330133	150.720024640337	92.8737917715797	48.6912320540838	29.1143361958676	56.2791218808244	8.38761532212177	53.5728929827263	9.3767812544535	141.793662060662	0	0	1	4.985035481	1	7.983492979	1.417098705	5.409323517	1.200730947	0	0	2.13270486	0	0	1.041354195	1.880128788	0	0	0	2.339944966	0	4.633358659	0	0	0	33.78492551	0	101.9717834	0	32.20742165	0	211.4932474	1.349923539	2.420190296	0	6.210519726	1.218902516	2.606942549	1.716115524	5.894850195	1.531117097	10.120569	1	3.972623563	0	24.55314494	2.613948015	29.29181072	0	1	0	2.044540442	0	12.33081991	0	3.161872408	1	1	1	1	193.7056819	90.78773986	1	1	17.27623001	29.80648748	0	102.6289518	3.44143094	6.977348896	28.96824577	26.05269866	0	0	0	60.03945652	0	0	0	11.19283661	0	0	0	8.160970763	1.460828285	16.89590317	1.008390522	2.144961817	1	131.0209279	1	1	31.3857342	40.19062713	33.53442457	1	0	0	0	0	0	2.181002869	0	0	10.3	55	5.64	2.33	80.3	0.77	8.97	10	86.3	6.83	1.24	5.59	20.7	0.22	2.86	32.5	37.8	12.3	6.88	45.8	3.49	13.2	37.5	36.8	2.66	5.14	55.4	4.76	1.52	94.5	0.085	0.027	0.92	2.37	0.24	1.46
30-36	E11 AtgH PBMC 30-36 lymph.fcs	AtgH	lab	8.75	2537330	M	N	N	blood	28-Jul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	2.960521488	2.530980088	7.139432544	0	2.423187906	1.056295438	0	0	1.891303409	1.174603295	1.349959848	0	1.244054997	1.001053429	0	0	4.769186901	1.217692629	2.265310461	0	0	0	77.17472722	0	233.4283351	1.469505014	0	7.042733723	5.233961386	1.934732133	2.316939792	0	14.25588867	2.98234692	1.695584071	2.539038371	4.899343414	7.680839325	14.15308181	0	0	16.05207048	2.220771348	22.92302322	8.391138618	0	0	0	3.653564145	0	3.802469349	0	0	1	1	1	1	210.2260528	1	1	1	9.924461663	28.33739197	0	103.0277476	4.961881506	2.50313503	47.45937737	14.55206365	0	0	0	29.20880998	0	0	0	4.514033556	0	0	0	11.96308969	1.285689381	12.4818677	0	0	1	120.2903876	1	54.86283848	1	1	49.723738	1	0	0	0	1.624021688	0	0	0	0	11.7	53.1	6.54	2.57	76.2	1.26	7.11	15.5	86.2	6.38	4.26	3.19	18	0.33	2.68	38.1	29.2	15.4	7.49	51	3.65	11.2	34.2	28.5	2.21	6.82	62.5	5.42	2.24	86.1	0.044	0.021	1.07	2.97	0.37	1.65
59-3	D3 B6 PBMC59-3 lymph.fcs	B6	lab	6.25	2517959	M	N	N	blood	28-Jul	36.4290516721056	141.17521689247	541.620475624026	14.6062767829198	54.7636611475669	130.795848139251	4.10587803356814	23.6732943898259	47.76495336994	67.8441850829455	1	2.076582118	0	4.046148003	1.20418097	1	2.340167827	0	0	1.358749252	1.211243603	2.029797191	1.346669376	0	1.946278076	1.229195464	0	1.234976454	1.785991051	9.771034527	2.252431711	0	1.567502832	0	0	300.7490011	0	403.2403709	91.19336735	0	1506.447789	29.34017143	0	5.407913697	1.673913662	21.7142074	6.688634411	0	9.719166874	12.22003044	0	41.41294555	1.060100275	4.766773019	26.52931298	1	84.24954421	37.24608311	1	1.471261398	0	2.122192811	2.034906921	1	2.374752499	1.459906767	1	1	1	1	1	1	1	1	10.51373033	141.9352151	6.83887128	122.5141093	20.72982646	1	137.2802906	36.21409024	0	3.941545511	0	42.54473753	0	0	31.3846158	0	0	1.485173055	0	18.44571738	1.509709883	0	1.974210626	1.60976589	1	162.0623976	1	71.93126131	21.9060971	1	119.0313434	90.47456297	0	0	0	1.758458819	0	0	2.252589953	0	10.8	45.2	5.95	2.26	37.3	2.11	28.9	31.7	64.8	7.41	3.7	24.1	21.4	0.42	1.39	32.5	34	11.4	7.59	62.9	3.82	15.2	18.1	61.8	4.36	4.54	29.3	4.56	1.57	93	0.048	0.00686	1.58	2.37	0.3	1.24
59-1	D1 B6 PBMC59-1 lymph.fcs	B6	lab	7.509881423	2517959	M	N	N	blood	28-Jul	43.9775398126639	404.035800217666	178.381772212438	10.1698117412902	46.8014776749503	207.847437106654	16.0249670083511	13.1967329015194	17.1440373534471	1.96645595900313	1.379721879	0	0	1.276110649	1.814389232	0	1.925551957	0	1.474949809	1.017621184	1.189207619	1.120968861	1.306337202	0	1.109747329	1.326990353	0	1.152075838	1.25986059	0	0	0	0	1.156878892	64.4440298	448.559571	0	1395.808201	0	0	326.9676161	51.16471885	3.743811237	7.924175826	1.991006865	14.46876704	9.157017705	0	5.985225272	9.702475353	9.083325475	20.87222075	0	0	4.316328305	0	6.129307482	2.363984104	0	0	2.154851376	1	1.741557453	0	0	0	1	1	1	1	1	1	1	1	36.84600929	70.52238153	6.083852951	151.8434242	16.65255667	3.297221916	81.18461014	42.55805968	0	0	6.303041467	22.65270676	0	0	0	0	0	1.056115203	2.602906602	9.791634764	2.315408071	0	1.450070189	0	65.55241276	130.9968055	1	1	1	1	62.24584234	57.34053357	0	0	0	0	0	0	0	0	12.3	46.1	6.34	2.01	49.6	1.19	36.1	13.1	66.2	6.25	8.75	18.8	19.3	0.48	1.86	26.4	41.6	9.22	5.61	58.3	4.14	17.6	20	55.8	4.46	5.68	34	4.61	1.44	95.7	0.073	0.00876	2.23	2.38	0.35	1.26
59-2	D2 B6 PBMC59-2 lymph.fcs	B6	lab	7.8125	2517959	M	N	N	blood	28-Jul	55.6383720672976	184.491105251201	328.750603482083	31.1841782464948	44.8443643693491	220.453490483304	50.3586634890079	43.9809389290576	19.3294194969942	171.225844514968	1.524086798	1.184802316	0	2.656138776	0	2.10332898	1.342661735	4.507143243	1.009757732	1.513708077	1.169404272	1.542444919	1.258982541	1.517145882	1.517145882	1.171482818	1.069525011	0	1.844745869	2.939094869	0	2.262087951	0	2.056707071	78.56942785	74.64983352	0	200.0033324	0	0	5.233961386	41.86761458	3.938921388	4.640839388	3.005730068	15.16370158	10.44354367	1.18810737	5.271584532	9.137138339	14.93760646	27.97366092	2.843711485	3.863198521	37.54447063	0	87.87433924	48.17803439	2.549678122	0	2.853989163	3.150703583	0	1.811780645	1.266810029	2.200869258	1	1	4.592366645	1	1	1	1	1	67.35186059	88.73503278	8.974085624	64.94971999	25.96886501	4.399113947	98.21248319	49.96229076	0	1.884029811	0	27.68033238	0	0	2.443871341	0	13.68393813	1.567706041	0	23.97084292	0	1.789153781	1.38369743	6.657051717	65.12940483	149.4782359	1	49.35032468	1	1	100.0321254	92.26498695	0	1.351055298	0	0	0	0	0	1.510829499	12.8	47.7	6.61	2.75	47.7	0	29	23.4	73	11.2	3.37	12.4	15.2	0.4	1.66	30.6	37.6	11.2	7.63	64	3.91	16.6	15.5	69.1	6.27	2.94	21.7	5.41	1.61	92.5	0.066	0.011	1.8	2.72	0.36	1.45
59-5	D5 B6 PBMC59-5 lymph.fcs	B6	lab	4.564315353	2517959	M	N	N	blood	28-Jul	28.6562735582952	68.6438061395505	264.293759132866	0	25.4587885458542	264.460631859936	47.0735293927488	19.7124142371626	11.096348558671	57.3678472451948	2.28914556	4.304706773	1.080112075	2.367759813	2.559113615	2.068957112	3.834353722	3.891509017	1.3422868	2.043839055	1.28150074	1.308505435	1.344477413	1.573705487	1.536681492	1.641638843	1.707971749	1.488462401	1.387649309	1.979891304	1.751130404	2.878547158	1.156878892	1.665280046	2.265247745	905.0281891	0	305.9097054	0	0	1004.586513	6.285056955	5.07501768	9.135481974	2.139108122	14.00852728	12.30580992	1.528959142	7.284202648	10.70833679	47.75987595	83.42470785	1.857934929	6.966548245	38.63697526	1.103674715	156.4175099	71.39311315	6.066061169	1.465579836	1.005377007	3.338464084	4.033097332	1.089794668	3.743479109	1.999724314	1	1	1	1	1	1	1	1	44.85807789	150.0141078	8.015415372	105.2918355	17.6523956	4.064288877	98.54977233	48.01222431	2.210585923	21.89944323	0	33.12830551	0	0	4.823020175	0	9.561163397	1.879116157	1.750806602	30.81894199	2.817217452	1.632412733	3.228824721	4.589979731	82.48360388	167.8804753	1	12.32031528	33.92741615	1	134.8039178	104.6698707	0	1.536321373	0	0	2.169612067	0	1.001263862	4.375945172	14.5	46.8	8.36	2.41	53	0.31	29.5	17.2	75	7.61	8.7	8.7	17.2	0.29	1.53	33.4	34.2	11.2	8.63	64.8	4.26	15	16	73	3.87	2.72	20.4	3.55	1.42	93	0.05	0.00708	1.27	1.74	0.27	0.84
30-10	E9 AtgH PBMC 30-10 lymph.fcs	AtgH	lab	18.56540084	2537330	M	N	N	blood	28-Jul	30.3540139708585	194.74344670372	945.144973133257	16.6052775625732	97.6217854538226	161.448971672991	8.10995894004974	40.0976194147894	11.8502018645985	341.46811573364	2.363813077	3.361688939	0	4.67015775	6.364865442	5.758494965	1.541565504	5.660454362	1.607539642	1.087435565	0	1.911228415	1.572543546	1.408588849	1.123013825	2.465707893	0	0	0	4.071490817	2.066007149	2.882095232	2.109638612	2.637888564	85.24759201	28.19282328	0	125.3705788	5.480226861	0	110.145808	335.584357	4.265169388	9.336178569	0	4.861621037	14.22625129	1.70523811	4.587044175	23.69438279	10.89109036	64.39275038	0	3.208086389	30.10594647	2.352372836	14.49621256	20.26925136	1.291031618	0	0	1.720390608	3.716044487	2.190979391	2.092952067	3.069184041	1	1	1	1	84.10394981	1	1	1	81.71517662	159.5478998	1.764876934	58.13490195	59.18334352	1.967485153	200.9812921	120.7676588	0	5.737179947	0	23.14714257	0	5.883560167	18.27166511	72.24746171	1.635254071	1.839881754	0	19.40581082	17.51059744	5.845977111	2.571396915	6.954559875	43.75021753	125.0393969	1	1	68.3626652	21.24899892	61.53460997	51.78636574	1.790578596	0	0	2.229608573	2.084746898	0	1.901675255	3.687221975	9.66	45.6	4.94	2.46	72.8	1.47	12.3	13.4	78.6	5.17	6.27	9.96	30.7	0.24	4.03	32.5	33.1	12.1	6.84	41	4.28	17	37.7	21.8	1.94	8.3	67.9	6.21	1.78	91	0.15	0.13	0.96	3.03	0.36	1.73
76-1	E1 AtgE PBMC 76-1 lymph.fcs	AtgE	lab	15.96958175	2538776	M	N	N	blood	28-Jul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66832754	1.243246709	3.685626394	4.985035481	2.856842435	8.552593053	10.20539319	5.261209857	2.092612831	0	0	2.415359697	1.102629105	2.490332272	2.885538492	1.578356428	2.349752562	1.010059897	0	4.262782192	1.222619487	3.44821298	0	2.246003635	1.306365223	104.1750306	0	616.3784865	0	0	4.900197082	3.590583937	2.519142303	3.634811163	3.065044383	16.19885844	4.191607481	2.719632056	4.831479127	5.245609577	8.800059298	12.88645303	0	4.51593016	5.359836137	13.32380249	19.1545562	9.597034967	6.534587996	0	5.795115492	3.487244571	1.197866098	17.44656771	8.91778374	2.633447128	1	1	1	1	1	52.34949484	104.819278	1	26.64114327	69.06566002	2.018156752	132.5700702	7.710452166	9.318845708	25.12336141	23.93365486	34.40415489	0	0	16.43089464	0	47.36567088	278.8653964	12.66190337	7.531013393	0	2.919722323	30.25811574	0	11.44460784	7.954521339	3.972958659	39.83693138	108.9357141	1	9.755058578	1	51.1032644	80.43035285	1	0	0	0	2.141212222	1.036812855	3.3694525	4.372540216	0	9.75	48.9	5.32	1.88	46.9	0.88	17.7	34.5	55	0	2.5	42.5	22.9	0.24	1.66	26.9	35.3	10	5.46	41.3	3.72	22.1	32.8	36.5	3.63	8.13	51.7	5	1.23	92.5	0.087	0.042	2.99	2.86	0.43	1.34
76-2	E2 AtgE PBMC 76-2 lymph.fcs	AtgE	lab	11.45038168	2538776	M	N	N	blood	28-Jul	38.1131627592337	0	111.070703965465	4.48982944356807	0	68.2797630804015	0	7.92843208911457	18.3674039566704	0	2.848584486	1.906896074	1.36958291	4.811243782	2.399393483	12.24524817	7.546242146	5.242734494	1.633383852	1.06931141	1.187117048	2.009434617	1.559783194	4.190945001	2.018334192	2.10551613	1.205415385	0	0	7.761477318	1.570260475	8.111728672	2.713722071	2.278219291	57.31860131	0	0	269.9042683	3.824009801	21.24531601	0	514.4963173	3.769716999	6.210519726	1.248806783	15.64874436	8.291034625	4.200422609	4.234245092	21.23559171	31.18406438	52.93204109	3.342973025	6.994241258	37.08214409	32.19707323	17.56527686	26.15352893	2.076769831	0	0	4.190368724	3.202931549	12.239522	6.872694332	4.182261722	1	1	1	1	72.50613318	87.61449754	1	1	66.15896403	106.0833864	1.898797257	34.98364447	26.71489462	16.6666624	111.7836106	75.23230971	0	0	0	43.72198364	24.3918503	29.5264765	34.52938524	33.337793	1.176594313	0	0	111.2963764	4.52362328	12.19082936	7.120628034	4.197539881	41.26271982	129.4124016	1	65.02295207	87.5744829	62.90703932	76.30882899	70.51296263	0	0	0	3.156321358	0	5.356674742	0	2.915842215	9.3	51.8	5.24	2.19	75.7	0.87	6.96	16.5	56.2	31.2	6.25	6.25	21.6	0.18	1.51	30.4	32.6	10.5	6.79	46.2	5.05	21.1	27.7	31	6.43	15.7	46.9	6.77	1.55	92.7	0.078	0.03	3.68	4.68	0.48	2.74
